gvkey,datadate,rdq,permno,rdqplus1,abr,DATE
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31MAY2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,30JUN2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31JUL2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31AUG2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,29SEP2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31OCT2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,30NOV2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,29DEC2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31JAN2018
012994,20170331,20170510,10001,11MAY2017,0.0010010125,28FEB2018
012994,20170331,20170510,10001,11MAY2017,0.0010010125,29MAR2018
012825,20170331,20170424,10026,25APR2017,-0.003523713,28APR2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,31MAY2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,30JUN2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,31JUL2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,31JUL2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,31AUG2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,31AUG2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,29SEP2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,29SEP2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,31OCT2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,31OCT2017
012825,20170930,20171109,10026,10NOV2017,0.0095074362,30NOV2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,30NOV2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,30NOV2017
012825,20170930,20171109,10026,10NOV2017,0.0095074362,29DEC2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,29DEC2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,29DEC2017
012825,20171231,20180129,10026,30JAN2018,-0.0142918,31JAN2018
012825,20170930,20171109,10026,10NOV2017,0.0095074362,31JAN2018
012825,20170630,20170724,10026,25JUL2017,-0.009356673,31JAN2018
012825,20170331,20170424,10026,25APR2017,-0.003523713,31JAN2018
012825,20171231,20180129,10026,30JAN2018,-0.0142918,28FEB2018
012825,20170930,20171109,10026,10NOV2017,0.0095074362,28FEB2018
012825,20170630,20170724,10026,25JUL2017,-0.009356673,28FEB2018
012825,20170331,20170424,10026,25APR2017,-0.003523713,28FEB2018
