gvkey,datadate,rdq,permno,rdqplus1,abr,DATE
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31MAY2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,30JUN2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31JUL2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31AUG2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,29SEP2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31OCT2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,30NOV2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,29DEC2017
012994,20170331,20170510,10001,11MAY2017,0.0010010125,31JAN2018
012994,20170331,20170510,10001,11MAY2017,0.0010010125,28FEB2018
012994,20170331,20170510,10001,11MAY2017,0.0010010125,29MAR2018
012825,20170331,20170424,10026,25APR2017,-0.003523713,28APR2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,31MAY2017
012825,20170331,20170424,10026,25APR2017,-0.003523713,30JUN2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,31JUL2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,31AUG2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,29SEP2017
012825,20170630,20170724,10026,25JUL2017,-0.009356673,31OCT2017
012825,20170930,20171109,10026,10NOV2017,0.0095074362,30NOV2017
012825,20170930,20171109,10026,10NOV2017,0.0095074362,29DEC2017
012825,20171231,20180129,10026,30JAN2018,-0.0142918,31JAN2018
012825,20171231,20180129,10026,30JAN2018,-0.0142918,28FEB2018
012825,20171231,20180129,10026,30JAN2018,-0.0142918,29MAR2018
012825,20171231,20180129,10026,30JAN2018,-0.0142918,30APR2018
012825,20180331,20180430,10026,01MAY2018,-0.016632871,31MAY2018
012825,20180331,20180430,10026,01MAY2018,-0.016632871,29JUN2018
012825,20180331,20180430,10026,01MAY2018,-0.016632871,31JUL2018
012825,20180630,20180730,10026,31JUL2018,-0.012058404,31AUG2018
012825,20180630,20180730,10026,31JUL2018,-0.012058404,28SEP2018
012825,20180630,20180730,10026,31JUL2018,-0.012058404,31OCT2018
012825,20180930,20181108,10026,09NOV2018,-0.009188365,30NOV2018
012825,20180930,20181108,10026,09NOV2018,-0.009188365,31DEC2018
012096,20170331,20170515,10028,16MAY2017,-0.023982055,31MAY2017
012096,20170331,20170515,10028,16MAY2017,-0.023982055,30JUN2017
012096,20170331,20170515,10028,16MAY2017,-0.023982055,31JUL2017
012096,20170630,20170811,10028,14AUG2017,-0.027147305,31AUG2017
