dateff,mktrf,rf,tbl,ntis,infl,svar,dfy
19630131,0.0493,0.0025,0.0291,0.017136796,0,0.000699764,0.0070
19630228,-0.0238,0.0023,0.0292,0.013237325,0,0.000392124,0.0070
19630329,0.0308,0.0023,0.0289,0.014380015,0.003289474,0.000359924,0.0069
19630430,0.0451,0.0025,0.029,0.015199164,0,0.000322164,0.0066
19630531,0.0176,0.0024,0.0293,0.014648774,0,0.000303663,0.0063
19630628,-0.02,0.0023,0.0299,0.018263397,0.003278689,0.000261092,0.0061
19630731,-0.0039,0.0027,0.0318,0.009319109,0.003267974,0.000529791,0.0058
19630830,0.0507,0.0025,0.0332,0.009520366,0,0.000326916,0.0054
19630930,-0.0157,0.0027,0.0338,0.010313427,0,0.000329888,0.0053
19631031,0.0253,0.0029,0.0345,0.010279999,0.003257329,0.000503543,0.0051
19631129,-0.0085,0.0027,0.0352,0.006012398,0,0.00311016,0.0051
19631231,0.0183,0.0029,0.0352,0.00895399,0.003246753,0.00027358,0.0050
19640131,0.0224,0.003,0.0352,0.014293247,0,0.000183339,0.0044
19640228,0.0154,0.0026,0.0353,0.017407722,0,7.17008E-05,0.0047
19640331,0.0141,0.0031,0.0354,0.017783603,0,0.000114717,0.0045
19640430,0.001,0.0029,0.0347,0.020768417,0,0.000254751,0.0045
19640528,0.0142,0.0026,0.0348,0.021180072,0,0.000225772,0.0044
19640630,0.0127,0.003,0.0348,0.020503911,0.003236246,0.000397862,0.0044
19640731,0.0174,0.003,0.0346,0.02131387,0.003225807,0.000198899,0.0043
19640831,-0.0144,0.0028,0.035,0.020697976,-0.003215434,0.000425926,0.0041
19640930,0.0269,0.0028,0.0353,0.020404488,0.003225807,0.000170494,0.0040
19641030,0.0059,0.0029,0.0357,0.020116688,0,0.000187051,0.0039
19641130,0,0.0029,0.0364,0.019168163,0.003215434,0.000212882,0.0038
19641231,0.0003,0.0031,0.0384,0.023096655,0,0.000351216,0.0037
19650129,0.0354,0.0028,0.0381,0.01790518,0,0.000165822,0.0037
19650226,0.0044,0.003,0.0393,0.01482461,0,0.000393197,0.0037
19650331,-0.0134,0.0036,0.0393,0.01913505,0.003205128,0.000144621,0.0036
19650430,0.0311,0.0031,0.0393,0.014722856,0.003194888,0.000162754,0.0037
19650528,-0.0077,0.0031,0.0389,0.016244854,0,0.000333771,0.0037
19650630,-0.0551,0.0035,0.038,0.017550975,0.006369427,0.001829379,0.0039
19650730,0.0143,0.0031,0.0384,0.015627032,0,0.000521857,0.0040
19650831,0.0273,0.0033,0.0384,0.015600946,0,0.000107532,0.0039
19650930,0.0286,0.0031,0.0392,0.016895102,0,0.000299084,0.0039
19651029,0.026,0.0031,0.0403,0.01746461,0.003164557,0.000188383,0.0037
19651130,-0.0003,0.0035,0.0409,0.020763028,0,0.000141427,0.0035
19651231,0.0101,0.0033,0.0438,0.020837244,0.003154574,0.000301365,0.0034
19660131,0.0072,0.0038,0.0459,0.020277991,0,0.000151802,0.0032
19660228,-0.0121,0.0035,0.0465,0.020025381,0.006289308,0.000337065,0.0034
19660331,-0.0251,0.0038,0.0459,0.0167877,0.003125,0.000931034,0.0040
19660429,0.0214,0.0034,0.0462,0.015636289,0.00623053,0.000351263,0.0045
19660531,-0.0566,0.0041,0.0464,0.0159454,0,0.001935492,0.0050
19660630,-0.0144,0.0038,0.045,0.017122533,0.003095975,0.000501212,0.0051
19660729,-0.0163,0.0035,0.048,0.01864087,0.00308642,0.001013784,0.0052
19660831,-0.0791,0.0041,0.0496,0.021469746,0.006153846,0.003165256,0.0052
19660930,-0.0106,0.004,0.0537,0.016984555,0,0.001600328,0.0060
19661031,0.0386,0.0045,0.0535,0.015184258,0.006116208,0.002546772,0.0069
19661130,0.014,0.004,0.0532,0.017550473,0,0.000774402,0.0078
19661230,0.0013,0.004,0.0496,0.017209127,0,0.00062696,0.0079
19670131,0.0815,0.0043,0.0472,0.01569918,0,0.000733477,0.0077
19670228,0.0078,0.0036,0.0456,0.017702797,0,0.0004124,0.0079
19670331,0.0399,0.0039,0.0426,0.014923247,0.003039514,0.000501141,0.0072
