public_date,n_111,n_112,n_113,n_114,n_115,n_121,n_122,n_123,n_124,n_125,n_131,n_132,n_133,n_134,n_135,n_141,n_142,n_143,n_144,n_145,n_151,n_152,n_153,n_154,n_155,n_211,n_212,n_213,n_214,n_215,n_221,n_222,n_223,n_224,n_225,n_231,n_232,n_233,n_234,n_235,n_241,n_242,n_243,n_244,n_245,n_251,n_252,n_253,n_254,n_255,n_311,n_312,n_313,n_314,n_315,n_321,n_322,n_323,n_324,n_325,n_331,n_332,n_333,n_334,n_335,n_341,n_342,n_343,n_344,n_345,n_351,n_352,n_353,n_354,n_355,n_411,n_412,n_413,n_414,n_415,n_421,n_422,n_423,n_424,n_425,n_431,n_432,n_433,n_434,n_435,n_441,n_442,n_443,n_444,n_445,n_451,n_452,n_453,n_454,n_455,n_511,n_512,n_513,n_514,n_515,n_521,n_522,n_523,n_524,n_525,n_531,n_532,n_533,n_534,n_535,n_541,n_542,n_543,n_544,n_545,n_551,n_552,n_553,n_554,n_555
1976-01-31,122,84,49,128,149,4,5,8,4,20,4,6,9,3,18,8,8,8,9,8,13,13,3,3,9,7,3,13,9,42,87,40,81,105,164,5,5,21,13,30,13,6,20,11,22,15,14,15,15,14,9,10,11,16,47,56,90,78,76,106,10,29,18,16,20,19,19,19,19,18,26,36,17,6,8,15,8,8,17,66,20,3,18,21,54,57,45,53,50,116,23,23,23,24,22,28,18,22,19,28,32,19,37,23,34,27,24,26,8,61,24,27,34,30,31,41,40,41,40,40,38,39,25,25,18
1976-02-29,60,55,109,149,168,1,4,8,8,12,3,3,8,6,13,1,7,11,3,11,8,7,6,7,7,8,12,5,14,33,75,63,56,117,150,7,11,20,16,21,16,15,15,15,15,30,10,14,9,11,12,8,20,9,44,16,11,30,15,21,89,46,100,49,115,19,18,19,19,19,53,16,12,4,6,5,7,10,13,80,8,11,16,22,57,29,37,41,62,150,13,18,23,33,28,23,23,23,24,22,27,19,29,26,44,24,20,21,18,63,22,30,31,24,39,40,39,41,40,39,52,26,33,18,16
1976-03-31,6,4,13,6,6,163,65,183,61,75,5,5,12,4,8,7,7,10,7,5,11,5,16,1,3,11,16,20,9,22,85,82,125,84,84,8,17,26,19,7,16,20,23,11,8,21,23,19,9,5,15,8,21,14,38,16,12,27,16,25,77,66,106,47,95,19,18,23,18,18,39,21,19,12,4,12,13,6,19,70,15,14,7,21,62,35,61,35,51,121,10,38,25,18,27,24,24,24,24,22,37,26,21,36,30,26,19,25,30,50,23,29,18,35,44,37,37,37,37,36,40,29,18,39,23
1976-04-30,122,57,76,162,118,5,2,4,17,11,1,4,7,13,14,2,3,4,20,9,6,6,6,14,6,12,18,8,9,28,107,68,112,48,129,6,17,21,17,15,15,15,17,15,14,32,10,21,3,10,2,7,12,18,57,6,9,13,19,48,24,46,78,74,173,3,9,17,23,43,19,19,19,20,18,18,10,10,24,57,17,13,14,23,52,56,35,45,61,106,24,24,23,25,23,31,24,18,29,16,56,26,18,20,28,40,18,17,28,46,31,20,20,32,46,37,37,37,36,37,39,27,18,40,25
1976-05-31,178,72,140,41,100,8,3,16,2,10,7,6,16,2,8,7,7,13,7,6,9,8,17,2,4,10,4,6,18,35,62,36,77,142,150,3,7,15,23,27,5,8,17,20,26,13,14,14,20,13,20,9,17,15,34,14,9,20,25,26,86,54,90,69,99,18,18,22,18,18,37,9,19,21,8,30,15,10,21,43,26,18,14,25,36,68,35,47,73,74,24,24,25,24,23,27,22,21,27,22,56,34,25,10,23,35,31,26,14,41,18,23,44,20,43,30,30,45,30,50,30,30,29,30,29
1976-06-30,176,58,169,47,103,8,3,15,1,12,7,6,13,6,6,7,8,17,5,3,12,5,14,1,7,14,14,11,9,27,98,86,83,83,129,6,15,20,18,15,14,13,21,13,13,18,16,17,12,11,16,13,20,11,35,20,11,12,26,27,74,49,76,78,121,19,18,23,18,18,34,19,10,20,12,27,9,15,37,31,22,11,18,29,38,48,37,49,86,83,14,23,21,37,25,24,24,24,24,24,67,24,17,19,21,42,25,27,17,35,27,20,33,26,40,35,31,38,50,42,30,29,30,29,29
1976-07-31,143,49,140,80,117,6,3,6,0,4,3,4,6,3,5,3,4,8,5,4,7,5,8,2,3,13,5,9,16,22,55,31,107,133,124,4,0,13,29,12,5,6,13,22,14,13,12,11,14,12,10,12,21,14,33,10,12,16,13,34,54,51,77,83,122,18,15,21,15,14,25,21,14,17,12,22,15,27,17,36,27,11,25,23,31,47,35,67,66,81,17,17,32,24,29,24,24,24,24,22,67,25,19,21,16,39,28,19,28,33,42,18,20,36,28,39,38,40,38,37,37,30,24,37,19
1976-08-31,135,65,41,35,281,3,5,3,1,27,6,8,2,3,19,6,5,6,5,17,9,5,4,3,18,18,9,19,5,25,79,93,115,49,133,11,15,28,6,16,14,13,21,14,13,21,22,18,7,8,7,12,7,17,50,36,62,61,73,167,5,16,19,7,48,12,14,12,28,28,19,19,18,20,18,32,17,10,28,33,28,25,18,29,20,61,63,60,59,56,20,38,18,24,20,35,26,17,24,16,53,29,32,14,20,29,22,32,32,33,29,28,28,21,42,27,33,52,46,37,30,29,30,29,29
1976-09-30,190,52,164,53,94,8,4,15,3,8,10,4,12,2,10,6,5,18,5,5,12,8,16,1,1,22,9,16,5,24,97,76,104,59,136,13,13,20,9,19,15,14,19,14,14,26,13,17,7,10,13,17,9,19,38,69,121,37,69,94,13,26,13,18,26,19,23,17,19,17,32,28,11,11,12,26,15,23,14,45,19,26,29,15,33,45,58,70,42,73,13,26,35,16,33,24,24,24,25,23,77,21,15,23,13,53,18,21,38,18,47,24,17,39,22,38,38,40,38,37,40,24,19,38,27
1976-10-31,141,52,269,31,60,2,1,33,,3,5,4,23,4,4,4,5,28,1,1,8,3,28,,1,16,8,29,7,15,108,77,103,87,102,8,12,30,12,12,12,12,26,12,12,22,16,23,4,9,7,11,13,18,48,8,6,21,19,42,33,40,94,74,148,14,7,19,22,35,19,18,18,24,18,31,11,27,16,38,34,17,26,22,24,84,36,61,49,60,25,24,26,24,24,42,18,24,20,19,48,57,16,16,12,33,44,20,32,20,30,31,29,29,29,19,63,34,35,38,16,49,26,20,37
1976-11-30,155,29,199,70,100,3,,31,1,5,6,1,27,,6,4,4,26,4,3,11,2,25,1,1,7,5,7,30,26,71,63,62,114,162,5,5,15,28,22,8,6,11,31,19,12,12,12,27,12,19,8,23,20,25,89,34,108,113,46,22,8,27,25,15,18,17,27,17,17,34,11,29,17,5,28,13,26,23,32,30,22,24,20,24,57,57,63,57,54,29,22,32,26,13,32,30,17,29,14,87,19,17,11,14,62,19,19,16,33,50,18,30,27,24,38,37,38,37,37,39,22,28,18,42
1976-12-31,77,46,49,207,162,,2,1,29,7,2,2,,28,8,2,3,5,22,4,4,3,4,25,3,12,9,28,7,18,131,77,99,60,106,14,13,27,14,6,10,11,31,11,8,24,18,21,3,7,17,11,25,12,30,7,7,40,21,19,69,53,96,97,72,17,17,29,17,16,24,22,29,17,4,39,9,18,12,40,35,11,24,12,39,65,37,47,43,91,24,24,27,24,24,39,18,20,15,30,74,31,22,11,11,46,30,21,23,30,32,27,27,36,27,25,46,41,30,42,30,30,30,30,28
1977-01-31,129,86,58,159,116,3,3,3,27,5,4,1,2,29,3,5,5,4,23,4,11,1,3,23,2,12,34,5,6,18,153,123,31,54,108,12,29,11,12,11,18,37,5,6,9,31,30,3,6,5,8,11,29,22,24,12,17,29,22,14,45,72,109,99,71,17,17,27,17,16,21,25,27,15,5,22,15,22,25,38,16,21,35,19,31,47,34,72,65,62,15,27,29,32,21,24,24,29,24,23,67,28,21,16,16,61,20,19,31,17,31,25,32,34,25,37,37,38,37,37,26,44,16,34,27
1977-02-28,120,49,198,72,113,5,2,27,3,3,4,4,24,4,3,6,5,23,4,2,7,3,25,2,3,11,15,22,8,18,98,112,82,62,109,14,15,26,15,5,12,11,29,12,11,22,18,22,7,6,11,1,15,8,59,7,5,9,13,59,40,21,25,56,254,11,8,9,19,47,18,18,18,18,22,20,18,15,21,48,15,23,20,26,37,33,49,63,59,80,15,13,32,32,31,24,24,28,24,23,62,38,18,14,16,45,31,16,31,26,22,26,23,43,33,22,31,54,33,42,30,30,29,30,29
1977-03-31,76,61,61,60,286,5,2,3,4,28,4,4,4,4,25,5,6,6,2,23,8,5,3,,25,1,5,10,13,46,37,34,65,74,254,4,5,16,11,40,1,6,11,12,45,12,12,11,12,28,17,16,15,21,26,14,13,21,26,19,57,54,59,90,134,16,16,30,16,16,28,26,12,17,10,36,24,18,6,40,36,24,18,16,29,69,55,56,32,68,25,27,24,24,24,50,18,19,15,21,82,33,11,8,16,52,29,18,21,29,38,35,20,22,34,36,37,36,35,35,40,34,22,28,25
1977-04-30,54,43,77,109,264,2,3,3,10,24,1,4,3,10,22,2,1,8,7,24,5,4,5,4,23,13,7,7,22,27,63,71,47,104,178,7,13,10,27,19,12,12,12,29,11,25,16,6,21,7,18,14,22,14,25,14,26,26,12,14,77,75,96,76,70,26,26,23,9,9,32,30,19,5,6,22,32,16,13,41,21,33,15,21,35,46,73,30,43,79,25,26,25,25,24,39,31,19,11,23,56,45,16,10,22,47,19,29,21,33,24,23,34,29,39,27,33,37,39,44,30,30,29,30,29
1977-05-31,111,25,73,172,161,9,2,3,25,3,3,2,4,28,4,5,5,5,23,4,7,1,5,24,5,8,9,5,23,29,49,108,43,118,154,12,11,11,29,10,9,17,5,32,10,19,19,5,25,5,10,7,9,18,51,7,17,7,30,32,41,53,53,82,162,17,16,17,28,16,20,21,14,25,14,13,17,28,17,48,14,13,37,16,44,26,25,73,59,88,11,17,40,24,33,25,23,28,24,24,81,24,16,3,25,58,23,17,19,32,33,30,30,18,38,36,37,36,36,33,46,26,20,22,34
1977-06-30,82,89,79,43,259,2,6,5,2,26,5,5,5,5,20,1,7,6,3,24,6,3,5,4,21,5,12,25,10,23,51,112,108,76,129,8,19,28,8,12,11,10,33,10,10,18,19,23,8,6,9,12,8,18,46,7,5,23,28,29,45,32,67,85,172,15,17,16,20,25,18,17,18,23,17,16,13,22,20,49,12,20,17,27,48,29,40,56,56,101,11,21,22,40,29,24,24,27,24,24,82,24,12,6,26,60,22,20,22,25,30,32,29,30,28,37,37,33,41,33,47,26,32,19,26
1977-07-31,111,57,31,166,183,4,4,3,26,5,6,4,4,24,4,5,5,4,23,4,4,8,2,20,8,8,3,7,26,30,43,30,64,118,219,6,2,16,27,25,12,2,9,33,19,13,12,12,25,12,9,12,13,16,43,11,24,16,24,17,38,81,68,83,136,17,17,25,17,16,16,28,18,19,11,31,29,18,16,24,23,25,34,19,22,55,70,55,55,49,21,30,42,20,9,41,31,27,11,12,79,29,12,9,21,62,25,20,21,20,35,32,28,29,25,37,36,39,36,36,47,30,31,19,22
1977-08-31,120,35,90,146,150,2,4,5,23,9,7,2,6,21,6,7,3,3,24,6,5,5,5,21,5,7,8,20,7,32,58,61,128,67,153,8,14,28,6,18,11,11,31,11,11,22,11,27,6,9,10,15,17,15,32,14,28,18,14,15,80,98,79,79,79,19,26,21,13,9,24,29,22,10,5,29,11,16,17,49,23,12,24,27,37,57,31,46,45,104,24,24,27,24,24,48,16,21,15,22,48,39,19,20,22,42,30,22,17,38,19,25,22,34,48,20,38,26,53,50,30,30,29,30,29
1977-09-30,110,30,59,158,181,9,5,2,10,17,9,6,2,14,11,5,3,7,18,9,9,8,7,9,8,4,6,11,11,43,42,37,35,121,230,6,8,11,22,27,7,8,9,23,28,15,14,15,18,13,16,8,17,18,31,17,19,19,17,18,80,91,80,81,77,28,22,17,12,10,33,26,13,12,6,11,17,18,23,55,15,17,15,30,46,17,45,43,62,110,9,23,20,41,31,25,25,26,25,24,72,22,13,16,24,57,24,16,19,32,35,23,25,33,32,38,38,37,37,36,50,30,25,22,20
1977-10-31,80,82,79,134,168,4,8,9,13,9,3,7,11,11,9,8,8,7,13,7,3,11,15,7,6,12,15,6,12,28,80,82,71,72,161,16,12,22,12,13,14,13,17,14,14,29,20,12,7,6,8,8,5,18,52,5,7,12,28,39,33,49,41,91,195,13,17,8,27,26,18,18,17,20,17,19,17,13,19,56,23,28,22,22,30,40,44,41,48,101,25,25,26,25,23,35,31,14,27,18,55,27,20,16,29,50,22,25,12,38,30,29,30,29,29,30,37,40,37,43,45,29,38,21,14
1977-11-30,114,49,86,136,154,11,3,6,13,9,8,8,8,10,7,8,8,7,12,7,8,10,11,7,6,7,3,5,13,47,44,21,53,82,259,4,5,11,22,34,8,4,11,17,36,15,15,15,18,14,4,9,6,29,41,9,11,22,20,26,53,60,84,73,140,18,17,20,16,17,26,21,23,13,6,24,15,22,26,38,26,25,35,15,24,55,54,54,54,53,35,33,30,14,13,53,27,23,16,6,57,25,18,18,28,43,23,26,17,36,38,28,34,24,23,38,38,38,37,35,54,30,27,27,8
1977-12-31,112,50,77,125,171,8,3,3,15,13,6,12,7,9,4,12,2,6,15,8,8,8,8,11,8,8,7,16,16,29,59,42,95,104,162,9,14,17,21,13,15,15,16,14,14,20,21,19,9,6,10,11,17,24,28,19,12,29,21,9,80,90,78,79,76,29,21,15,15,8,39,21,18,10,2,15,23,15,21,48,23,23,15,21,41,32,52,52,46,95,25,25,25,25,24,38,25,23,18,19,20,35,21,24,46,19,33,19,20,54,15,24,27,33,48,14,25,28,47,72,30,29,30,29,29
