public_date,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9
1976-01-31,372,369,373,372,460,369,375,373,373,373
1976-02-29,365,367,368,365,451,370,365,371,372,368
1976-03-31,369,371,371,374,448,371,372,373,373,370
1976-04-30,366,370,374,373,446,370,371,373,374,372
1976-05-31,366,367,370,373,446,373,369,372,371,372
1976-06-30,371,370,374,373,483,373,370,374,370,370
1976-07-31,333,336,345,345,462,352,355,351,357,356
1976-08-31,372,369,372,369,484,372,372,370,371,371
1976-09-30,364,368,370,371,485,371,371,367,368,374
1976-10-31,369,372,371,371,485,373,373,371,370,371
1976-11-30,369,372,371,371,479,374,372,368,370,370
1976-12-31,364,363,368,366,476,370,370,361,370,367
1977-01-31,368,366,371,366,481,370,370,367,370,368
1977-02-28,368,367,372,370,475,368,369,370,365,367
1977-03-31,369,370,369,368,474,369,369,371,366,369
1977-04-30,369,366,367,365,475,370,368,370,368,367
1977-05-31,368,364,368,368,471,368,369,370,368,367
1977-06-30,367,366,370,368,491,366,371,373,370,368
1977-07-31,369,366,370,369,492,368,371,373,368,366
1977-08-31,366,369,370,368,482,368,370,370,369,367
1977-09-30,364,366,369,367,480,369,368,370,370,364
1977-10-31,366,368,370,370,476,368,370,370,367,366
1977-11-30,366,365,369,368,473,368,367,368,364,365
1977-12-31,362,364,367,368,477,367,365,369,363,361
1978-01-31,361,363,367,368,472,366,367,368,363,362
1978-02-28,363,364,366,365,470,366,364,367,366,360
1978-03-31,362,363,366,364,472,363,367,367,365,359
1978-04-30,364,362,366,363,467,364,367,366,363,361
1978-05-31,362,362,363,360,463,366,362,364,360,355
1978-06-30,359,368,368,365,497,368,365,365,366,361
1978-07-31,367,366,363,366,479,367,367,364,365,365
1978-08-31,365,362,365,367,480,366,365,365,364,364
1978-09-30,366,360,366,365,481,368,365,367,362,361
1978-10-31,361,363,367,366,478,367,366,366,363,363
1978-11-30,356,364,365,361,482,365,367,367,364,363
1978-12-31,349,366,365,364,490,365,363,364,367,366
1979-01-31,355,364,362,362,497,362,361,363,364,363
1979-02-28,358,362,360,363,498,360,364,361,364,359
1979-03-31,358,361,363,361,516,363,361,365,361,360
1979-04-30,358,363,362,361,519,361,360,365,363,361
1979-05-31,359,362,358,360,517,359,363,362,362,360
1979-06-30,362,368,365,368,571,364,368,366,369,366
1979-07-31,359,368,365,364,564,365,366,368,367,366
1979-08-31,359,363,363,364,560,365,362,369,368,363
1979-09-30,360,365,366,366,564,364,363,369,365,363
1979-10-31,360,365,366,365,561,366,366,365,366,361
1979-11-30,358,363,366,364,559,364,362,365,364,359
1979-12-31,359,356,364,363,569,358,362,364,360,357
1980-01-31,357,359,361,361,558,360,359,361,363,359
1980-02-29,350,357,358,359,557,362,360,360,359,360
1980-03-31,353,350,360,357,554,360,361,362,360,354
1980-04-30,352,357,353,361,546,357,360,358,359,355
1980-05-31,359,358,356,357,537,357,360,354,356,355
1980-06-30,360,361,359,361,587,360,363,359,356,356
1980-07-31,357,359,358,360,582,357,361,358,363,355
1980-08-31,354,354,357,357,574,362,358,362,362,349
1980-09-30,360,357,357,362,569,363,361,362,362,350
1980-10-31,356,355,361,360,566,362,357,361,358,357
1980-11-30,358,356,361,358,568,359,361,361,356,359
1980-12-31,358,357,358,360,578,361,357,359,356,356
1981-01-31,352,355,356,360,563,359,357,359,353,356
1981-02-28,350,353,358,355,566,360,359,359,357,354
1981-03-31,353,355,354,357,568,358,360,355,359,353
1981-04-30,354,357,356,357,560,358,356,358,358,351
1981-05-31,356,356,353,360,547,359,355,355,356,354
1981-06-30,356,357,360,360,668,360,358,357,358,353
1981-07-31,355,359,358,356,661,360,360,354,358,353
1981-08-31,346,358,350,359,658,357,358,355,358,356
1981-09-30,351,350,358,357,682,357,355,359,357,358
1981-10-31,353,355,355,357,684,357,356,360,360,353
1981-11-30,356,353,357,357,678,358,356,360,358,352
1981-12-31,355,355,357,360,713,357,358,357,362,349
1982-01-31,357,360,358,356,711,357,357,354,360,357
1982-02-28,354,359,355,358,713,357,356,360,357,351
1982-03-31,355,358,354,356,747,357,354,359,358,349
1982-04-30,354,357,352,357,748,357,355,356,359,352
1982-05-31,353,352,355,354,745,358,354,356,360,350
1982-06-30,353,352,361,358,889,362,360,361,358,359
1982-07-31,361,356,358,362,884,362,362,362,363,361
1982-08-31,360,355,353,364,870,360,365,359,368,356
1982-09-30,358,360,362,362,866,365,366,359,367,364
1982-10-31,355,362,362,366,844,369,368,365,369,364
1982-11-30,362,362,366,368,830,368,369,367,369,366
1982-12-31,356,364,367,370,847,366,369,370,371,367
1983-01-31,359,366,370,370,822,369,373,370,372,368
1983-02-28,368,365,370,369,813,371,371,367,373,364
1983-03-31,368,368,370,373,802,373,373,374,372,367
1983-04-30,368,376,372,378,759,378,378,376,376,374
1983-05-31,377,375,380,379,708,382,378,379,377,377
1983-06-30,384,383,384,385,756,385,385,384,384,384
1983-07-31,380,382,387,388,710,388,387,388,389,390
1983-08-31,381,385,389,390,689,388,392,387,390,389
1983-09-30,387,388,386,391,683,391,389,388,392,392
1983-10-31,386,393,392,393,658,394,390,393,391,393
1983-11-30,393,392,394,392,633,396,390,397,394,394
1983-12-31,389,396,393,396,642,393,391,395,394,392
1984-01-31,385,393,393,392,641,394,390,392,394,391
1984-02-29,384,390,392,391,650,395,390,386,395,392
1984-03-31,388,389,392,389,686,391,387,387,393,393
1984-04-30,389,387,389,386,701,390,391,392,390,389
1984-05-31,386,388,388,385,699,389,391,389,387,384
1984-06-30,385,392,388,389,945,392,391,391,391,388
1984-07-31,381,394,388,391,962,391,390,392,392,392
1984-08-31,375,388,390,388,967,387,388,389,386,387
1984-09-30,383,380,389,385,1010,386,384,386,384,383
1984-10-31,379,380,385,385,1026,385,381,382,378,376
1984-11-30,378,386,387,384,1018,384,379,386,380,377
1984-12-31,373,385,387,385,1040,383,384,385,385,380
1985-01-31,375,381,381,384,1046,382,386,379,384,378
1985-02-28,376,381,382,381,1030,383,385,381,385,381
1985-03-31,381,384,384,385,1025,384,385,387,386,384
1985-04-30,377,384,389,386,1007,384,385,384,386,383
1985-05-31,381,385,389,388,983,383,390,383,389,380
1985-06-30,387,393,395,391,1088,392,395,392,394,387
1985-07-31,391,394,399,399,1028,394,396,396,396,393
1985-08-31,398,404,404,405,954,403,403,401,397,399
1985-09-30,400,400,404,403,922,406,407,404,405,402
1985-10-31,403,408,403,409,863,409,409,409,407,406
1985-11-30,405,409,411,409,815,408,410,408,410,404
1985-12-31,410,413,416,414,790,414,415,416,410,405
1986-01-31,412,414,415,414,760,414,415,417,413,411
1986-02-28,411,417,415,412,734,414,417,413,414,415
1986-03-31,410,418,417,415,723,419,417,416,415,417
1986-04-30,412,413,415,412,706,418,416,416,416,414
1986-05-31,411,417,412,414,691,412,414,413,414,413
1986-06-30,412,415,414,417,819,416,416,418,418,413
1986-07-31,409,416,416,416,796,418,418,417,416,413
1986-08-31,412,417,416,417,774,419,414,412,414,409
1986-09-30,412,415,413,416,786,411,417,413,411,406
1986-10-31,409,410,405,412,769,410,414,412,411,403
1986-11-30,409,403,406,402,744,406,408,406,410,402
1986-12-31,407,399,408,408,777,405,406,405,410,407
1987-01-31,406,405,408,406,765,405,407,408,407,407
1987-02-28,404,403,406,406,765,404,405,409,406,403
1987-03-31,400,403,405,404,808,402,406,405,403,402
1987-04-30,403,404,403,403,812,405,404,403,403,405
1987-05-31,403,404,404,403,797,404,403,405,401,401
1987-06-30,406,407,409,406,1055,402,408,404,406,400
1987-07-31,406,405,407,406,1052,407,405,405,403,404
1987-08-31,405,405,409,407,1030,405,408,408,406,403
1987-09-30,403,405,409,406,1053,406,402,404,404,407
1987-10-31,408,408,409,411,1050,408,408,406,403,382
1987-11-30,398,402,408,408,1019,409,409,410,400,402
1987-12-31,401,407,404,409,1071,408,410,406,402,399
1988-01-31,399,405,405,406,1053,403,405,402,399,396
1988-02-29,401,405,405,404,1035,399,402,405,400,397
1988-03-31,400,404,406,405,1039,402,407,406,403,400
1988-04-30,398,403,405,405,1022,408,405,404,401,394
1988-05-31,402,408,408,408,985,406,407,404,401,395
1988-06-30,413,416,414,418,1145,417,414,414,410,407
1988-07-31,416,416,415,418,1099,416,418,413,417,404
1988-08-31,418,414,416,419,1059,415,418,416,417,410
1988-09-30,418,416,419,420,1055,416,423,421,420,411
1988-10-31,415,423,420,423,1003,421,422,421,421,418
1988-11-30,412,425,424,423,940,420,426,419,425,417
1988-12-31,421,419,428,424,933,423,426,424,425,417
1989-01-31,421,422,424,424,910,424,424,425,422,425
1989-02-28,424,429,421,425,866,423,426,427,423,425
1989-03-31,425,429,428,429,839,427,429,429,424,428
1989-04-30,421,429,426,429,822,430,427,424,427,424
1989-05-31,425,428,424,430,778,429,430,424,425,426
1989-06-30,438,438,439,438,872,439,441,436,433,429
1989-07-31,434,441,440,435,831,440,438,440,437,429
1989-08-31,440,436,441,439,778,443,440,441,443,432
1989-09-30,446,441,445,443,745,443,444,441,447,433
1989-10-31,442,442,438,443,720,442,442,443,444,438
1989-11-30,439,437,437,444,716,441,439,440,442,440
1989-12-31,435,437,440,439,735,436,434,442,437,437
1990-01-31,430,438,438,437,728,434,431,439,437,432
1990-02-28,433,438,436,436,715,433,429,434,434,431
1990-03-31,430,436,435,430,718,432,430,431,433,427
1990-04-30,427,434,431,427,702,432,433,433,433,429
1990-05-31,425,430,431,431,679,432,428,432,431,423
1990-06-30,427,431,432,431,815,431,432,430,431,427
1990-07-31,430,428,432,432,798,428,430,431,430,427
1990-08-31,432,430,428,432,775,425,431,433,433,427
1990-09-30,430,430,430,432,771,427,432,431,431,423
1990-10-31,430,432,432,432,744,433,431,431,429,418
1990-11-30,428,431,426,434,734,431,434,430,431,421
1990-12-31,427,429,426,428,748,430,432,427,425,426
1991-01-31,428,428,425,431,731,429,430,430,423,426
1991-02-28,427,428,423,429,723,428,427,430,428,419
1991-03-31,417,425,423,428,735,427,426,423,428,416
1991-04-30,420,424,424,424,710,427,428,425,422,418
1991-05-31,420,424,426,422,695,428,428,425,424,418
1991-06-30,418,427,426,424,834,430,421,429,427,424
1991-07-31,424,426,427,420,811,430,422,427,427,425
1991-08-31,423,423,428,429,790,429,426,428,426,423
1991-09-30,422,422,425,427,797,425,428,424,425,422
1991-10-31,421,424,423,425,779,425,428,426,425,424
1991-11-30,425,423,421,426,756,428,427,427,421,415
1991-12-31,421,424,426,429,757,424,429,428,424,415
1992-01-31,419,424,424,426,733,423,428,425,426,419
1992-02-29,414,423,421,426,713,423,428,424,426,420
1992-03-31,420,422,424,427,705,426,425,422,423,417
1992-04-30,417,423,423,426,679,423,426,424,421,414
1992-05-31,411,419,418,425,644,426,423,427,423,411
1992-06-30,420,410,411,426,868,425,419,426,426,416
1992-07-31,413,413,419,424,848,423,423,424,417,414
1992-08-31,413,422,421,424,831,423,423,423,416,413
1992-09-30,413,420,417,418,846,421,423,422,413,412
1992-10-31,414,416,418,418,841,421,418,418,419,410
1992-11-30,411,417,413,419,839,417,417,417,418,414
1992-12-31,413,415,413,414,884,417,416,418,413,412
1993-01-31,413,415,415,405,882,418,417,415,413,412
1993-02-28,413,413,411,412,880,414,416,412,414,410
1993-03-31,408,414,412,413,899,414,414,414,414,414
1993-04-30,410,414,416,414,880,418,416,419,414,415
1993-05-31,414,416,416,420,845,417,420,420,416,414
1993-06-30,416,421,419,424,1107,421,424,422,421,423
1993-07-31,417,420,423,421,1092,426,422,427,428,426
1993-08-31,418,425,427,423,1066,427,428,429,427,426
1993-09-30,421,425,426,428,1077,427,426,431,426,428
1993-10-31,429,429,429,430,1036,430,431,430,431,430
1993-11-30,429,433,432,434,991,434,434,436,430,433
1993-12-31,433,438,441,438,1018,440,440,440,437,436
1994-01-31,434,439,440,440,986,444,442,442,440,436
1994-02-28,439,443,442,443,946,447,447,444,444,440
1994-03-31,449,448,450,447,944,452,449,455,448,448
1994-04-30,453,450,452,449,915,452,453,455,453,450
1994-05-31,453,450,453,455,878,455,457,455,454,454
1994-06-30,487,492,492,491,1445,491,493,489,484,488
1994-07-31,486,488,496,492,1427,495,492,491,489,487
1994-08-31,487,489,493,486,1395,494,495,492,492,489
1994-09-30,490,493,494,492,1415,495,495,494,494,494
1994-10-31,494,497,497,498,1371,492,498,500,496,494
1994-11-30,492,494,497,498,1339,496,503,495,494,493
1994-12-31,495,495,500,498,1355,503,500,502,497,498
1995-01-31,499,495,498,499,1346,502,495,499,494,495
1995-02-28,493,496,496,500,1303,504,498,500,498,496
1995-03-31,496,498,499,506,1294,502,505,505,502,497
1995-04-30,502,507,503,501,1258,500,505,505,503,498
1995-05-31,505,509,505,506,1202,507,508,507,500,503
1995-06-30,505,511,512,512,1549,512,511,512,504,509
1995-07-31,509,513,518,515,1498,515,517,513,514,509
1995-08-31,508,515,519,521,1444,514,521,519,517,514
1995-09-30,511,514,522,523,1417,521,522,521,520,521
1995-10-31,521,514,524,522,1355,525,524,524,523,524
1995-11-30,521,520,528,531,1278,531,526,528,527,529
1995-12-31,523,528,531,537,1229,533,533,528,534,532
1996-01-31,530,528,535,534,1180,535,534,535,525,533
1996-02-29,536,537,537,532,1120,538,534,536,532,536
1996-03-31,536,540,536,537,1100,538,538,541,540,536
1996-04-30,537,540,541,542,1050,541,540,542,542,537
1996-05-31,541,545,546,549,985,547,546,546,542,539
1996-06-30,546,547,550,549,1389,546,550,551,550,540
1996-07-31,545,548,552,547,1354,548,546,549,552,543
1996-08-31,546,551,554,550,1298,549,555,550,549,546
1996-09-30,547,554,550,553,1302,549,551,553,548,543
1996-10-31,542,556,554,551,1261,550,554,553,553,545
1996-11-30,543,554,551,554,1218,550,551,551,555,554
1996-12-31,548,553,550,550,1247,547,552,553,551,549
1997-01-31,549,549,552,546,1227,548,550,549,550,546
1997-02-28,545,547,551,547,1182,551,552,550,549,547
1997-03-31,540,549,550,548,1201,550,553,550,551,545
1997-04-30,546,552,548,550,1159,551,556,549,550,548
1997-05-31,551,550,551,545,1115,552,548,546,550,546
1997-06-30,554,549,554,553,1704,555,548,553,555,545
1997-07-31,549,547,553,553,1675,555,552,554,548,548
1997-08-31,548,551,552,551,1617,548,556,551,552,556
1997-09-30,550,550,550,552,1608,544,554,551,557,547
1997-10-31,551,555,556,557,1548,556,551,548,556,545
1997-11-30,551,550,552,556,1470,550,555,552,558,546
1997-12-31,555,552,558,556,1432,554,551,558,565,552
1998-01-31,547,559,553,561,1391,557,551,553,555,551
1998-02-28,545,557,556,550,1331,555,555,550,555,551
1998-03-31,547,557,556,554,1283,556,554,557,555,554
1998-04-30,550,557,561,560,1220,556,551,554,560,553
1998-05-31,556,553,561,562,1135,557,556,554,562,557
1998-06-30,560,555,558,565,1491,562,565,561,558,558
1998-07-31,557,553,561,563,1434,563,564,558,563,559
1998-08-31,536,562,565,563,1365,564,566,564,566,551
1998-09-30,532,555,562,557,1326,562,564,559,556,537
1998-10-31,542,556,564,563,1242,562,567,558,552,548
1998-11-30,547,562,561,557,1160,566,560,568,551,549
1998-12-31,538,556,558,559,1137,564,559,564,555,550
1999-01-31,549,558,552,558,1094,556,556,549,556,541
1999-02-28,548,549,552,551,1041,550,553,552,545,533
1999-03-31,538,544,552,551,1039,550,547,547,537,537
1999-04-30,537,544,548,546,1006,549,545,543,532,537
1999-05-31,539,534,545,544,967,535,542,534,537,540
1999-06-30,538,541,545,547,1253,536,549,534,540,536
1999-07-31,539,542,545,541,1191,544,544,536,546,528
1999-08-31,531,540,540,541,1153,537,535,540,538,529
1999-09-30,525,537,540,537,1123,533,533,534,534,536
1999-10-31,528,535,537,528,1046,536,538,532,534,535
1999-11-30,529,538,532,532,977,535,539,527,538,526
1999-12-31,531,537,530,530,969,534,539,530,536,527
2000-01-31,533,534,529,527,929,530,532,528,527,530
2000-02-29,527,532,527,525,885,524,529,523,523,535
2000-03-31,529,528,523,526,882,524,527,521,522,528
2000-04-30,530,525,526,529,836,524,528,521,521,529
2000-05-31,529,527,526,529,785,524,528,515,518,523
2000-06-30,530,537,529,535,1184,534,534,524,520,530
2000-07-31,530,534,535,538,1125,536,531,528,525,529
2000-08-31,530,524,531,532,1092,528,525,526,524,530
2000-09-30,528,519,520,525,1103,521,516,523,516,519
2000-10-31,519,515,519,519,1086,512,520,514,503,509
2000-11-30,507,508,509,517,1061,507,510,506,508,509
2000-12-31,502,505,507,513,1049,507,505,505,503,499
2001-01-31,495,500,507,507,1028,503,503,499,502,493
2001-02-28,497,496,499,499,991,504,498,500,499,495
2001-03-31,495,492,494,496,972,499,489,496,495,486
2001-04-30,490,493,495,496,917,493,492,490,492,484
2001-05-31,484,494,491,493,875,494,490,486,486,489
2001-06-30,483,493,500,495,1220,490,494,492,485,489
2001-07-31,483,491,496,494,1154,489,491,494,473,484
2001-08-31,489,487,492,495,1112,482,489,491,482,485
2001-09-30,485,489,487,492,1092,490,481,483,488,488
2001-10-31,482,483,490,491,1029,490,485,480,489,487
2001-11-30,485,480,486,489,982,488,486,486,488,485
2001-12-31,486,482,485,489,948,484,483,488,489,486
2002-01-31,473,480,482,486,928,484,482,485,486,481
2002-02-28,472,482,486,484,868,486,487,483,484,483
2002-03-31,474,479,484,480,819,485,484,482,479,484
2002-04-30,480,484,484,481,768,485,486,484,479,483
2002-05-31,480,482,484,483,739,483,482,485,479,484
2002-06-30,477,484,488,487,831,486,487,485,483,488
2002-07-31,477,484,486,489,781,489,487,482,481,481
2002-08-31,480,490,485,491,722,490,488,489,486,479
2002-09-30,481,487,483,489,691,485,489,485,483,478
2002-10-31,481,487,486,486,670,480,484,482,477,478
2002-11-30,474,485,482,482,647,481,478,477,478,481
2002-12-31,469,476,477,480,634,478,476,474,478,479
2003-01-31,465,472,477,477,623,478,475,468,475,472
2003-02-28,457,468,472,471,608,471,469,465,469,459
2003-03-31,460,464,469,470,597,466,465,463,466,459
2003-04-30,455,460,465,463,586,463,462,466,460,460
2003-05-31,450,463,464,463,572,461,457,463,458,456
2003-06-30,446,458,465,463,669,462,459,461,453,449
2003-07-31,451,453,458,454,659,458,454,457,455,449
2003-08-31,449,457,454,455,642,455,450,457,453,452
2003-09-30,449,449,454,453,634,455,453,448,452,447
2003-10-31,448,451,448,450,627,450,449,451,448,441
2003-11-30,441,447,448,450,607,449,447,447,450,441
2003-12-31,443,446,450,446,586,446,444,448,443,445
2004-01-31,447,441,442,445,575,445,445,444,439,444
2004-02-29,443,441,440,444,568,444,442,443,441,437
