public_date,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9
1976-01-31,-0.009240,-0.002809,0.001118,0.008504,0.030266,0.054606,0.089138,0.104558,0.137839,0.190882
1976-02-29,0.032263,0.035027,0.012654,0.021075,0.023370,0.012819,0.049614,0.017793,0.012888,0.021182
1976-03-31,0.004077,-0.012784,-0.013822,-0.030315,-0.020133,-0.029623,-0.030286,-0.022168,-0.045392,-0.043564
1976-04-30,-0.013895,-0.007701,-0.007794,-0.005913,0.002323,-0.004086,-0.013248,-0.020832,-0.019266,-0.070578
1976-05-31,0.039263,0.033836,0.052547,0.056765,0.068892,0.065066,0.068378,0.049678,0.072291,0.018284
1976-06-30,0.004119,-0.003907,-0.012360,-0.004693,-0.013434,-0.024767,-0.013085,-0.012528,-0.030434,-0.015824
1976-07-31,0.013879,0.001811,-0.019360,0.002651,0.001840,-0.021395,-0.025956,-0.051163,-0.038348,-0.060917
1976-08-31,0.029797,0.018805,0.030870,0.017809,0.020345,0.030455,0.027255,0.044621,0.011786,-0.020623
1976-09-30,-0.013972,-0.016505,-0.022847,-0.023871,-0.029686,-0.053911,-0.014952,-0.034585,-0.044127,-0.032974
1976-10-31,0.010166,-0.003695,0.002738,-0.002695,0.026591,0.029197,0.045170,0.035134,0.035731,0.020886
1976-11-30,0.045853,0.058341,0.053965,0.058153,0.078869,0.097134,0.079486,0.091286,0.110730,0.125526
1976-12-31,-0.016313,-0.045091,-0.064619,-0.041627,-0.043460,-0.020640,0.010433,-0.001143,0.013512,0.044880
1977-01-31,-0.009312,-0.019071,-0.015912,-0.018639,-0.027659,-0.022521,-0.040917,-0.027245,-0.016757,-0.024991
1977-02-28,-0.015336,-0.014127,-0.002181,-0.004835,-0.005043,-0.002081,-0.003464,-0.001592,-0.004960,0.016975
1977-03-31,0.002023,0.007648,0.007187,-0.004217,0.017309,0.010846,0.022472,0.002971,0.008240,0.006964
1977-04-30,-0.002675,-0.010497,-0.019091,-0.011278,-0.031168,-0.014452,0.007786,-0.009851,0.000533,-0.019817
1977-05-31,0.042100,0.039332,0.054685,0.058305,0.063896,0.088761,0.084009,0.087435,0.092897,0.060606
1977-06-30,0.000164,-0.018018,-0.022715,-0.006838,-0.024453,-0.022144,-0.021758,-0.013243,-0.014395,-0.022313
1977-07-31,-0.030017,-0.016067,-0.005660,-0.008043,0.013647,-0.008358,-0.010872,-0.003481,-0.022760,-0.023519
1977-08-31,0.007444,0.003486,-0.005430,-0.002804,0.000106,-0.000465,0.006379,-0.001838,0.005424,0.005096
