public_date,_111,_112,_113,_114,_115,_121,_122,_123,_124,_125,_131,_132,_133,_134,_135,_141,_142,_143,_144,_145,_151,_152,_153,_154,_155,_211,_212,_213,_214,_215,_221,_222,_223,_224,_225,_231,_232,_233,_234,_235,_241,_242,_243,_244,_245,_251,_252,_253,_254,_255,_311,_312,_313,_314,_315,_321,_322,_323,_324,_325,_331,_332,_333,_334,_335,_341,_342,_343,_344,_345,_351,_352,_353,_354,_355,_411,_412,_413,_414,_415,_421,_422,_423,_424,_425,_431,_432,_433,_434,_435,_441,_442,_443,_444,_445,_451,_452,_453,_454,_455,_511,_512,_513,_514,_515,_521,_522,_523,_524,_525,_531,_532,_533,_534,_535,_541,_542,_543,_544,_545,_551,_552,_553,_554,_555
1976-01-31,0.163698,0.187255,0.151489,0.158420,0.159522,0.473190,0.293210,0.159208,0.106455,0.277993,0.676948,0.348480,0.273220,0.452172,0.298463,0.442311,0.412762,0.359589,0.539555,0.334724,0.318414,0.457876,0.575366,1.243695,0.367854,0.156032,0.116665,0.122534,0.173463,0.132179,0.111033,0.153841,0.095016,0.126686,0.135095,0.212992,0.234386,0.192135,0.171880,0.186670,0.127303,0.083885,0.247917,0.300876,0.264584,0.219872,0.209949,0.257948,0.251238,0.177177,0.159581,0.129495,0.080738,0.053184,0.134001,0.097830,0.083035,0.077716,0.084067,0.090987,0.065302,0.100389,0.073957,0.081504,0.116258,0.154389,0.080716,0.070657,0.136586,0.116713,0.104169,0.136126,0.161239,0.159416,0.168219,0.040428,0.042401,0.058481,0.037999,0.056092,0.044940,0.067632,0.045575,0.092738,0.075059,0.039964,0.048523,0.054174,0.060409,0.089126,0.078948,0.037903,0.061125,0.076758,0.098685,0.077415,0.096702,0.153832,0.139466,0.127314,-0.054374,-0.052381,-0.011958,-0.022478,0.030714,-0.055714,0.007245,0.018548,-0.004316,0.032058,-0.012321,0.022291,-0.012528,0.037785,0.049046,-0.006557,0.009600,-0.015990,0.001458,0.013055,0.018482,0.000066,0.068290,0.034134,0.024920
1976-02-29,0.051945,0.111995,0.009864,0.031100,0.055420,-0.240000,-0.002858,-0.025146,-0.022731,0.032622,-0.112564,0.036136,-0.088435,-0.080001,-0.001166,0.000000,-0.021394,-0.033299,0.247265,-0.077726,0.035986,-0.056807,0.054782,0.088481,-0.100374,-0.029298,-0.028726,0.041826,-0.028846,0.055028,0.014886,-0.003349,0.027292,0.016027,0.026875,-0.022821,-0.024649,0.002267,0.012899,0.008925,0.044785,0.009887,0.006712,-0.050564,-0.003098,-0.020558,-0.008309,0.009752,-0.059467,0.051682,0.017375,-0.001770,-0.020559,-0.016364,0.001998,-0.005184,0.005957,0.002948,0.057817,0.008159,0.010185,0.019341,0.032354,0.019982,0.039276,0.007410,-0.011342,0.037412,0.037441,-0.009413,-0.013043,-0.001301,-0.008749,0.031893,0.074076,-0.044644,-0.004142,-0.014026,-0.006977,0.028449,-0.042605,0.022964,0.020152,0.002594,-0.000286,-0.005463,-0.021465,0.014244,0.018886,0.012438,-0.000062,0.040405,0.025267,0.029390,-0.004405,0.034121,0.010015,0.051403,0.042296,0.064976,0.012482,0.057306,0.030608,0.008905,0.029900,0.045338,0.043668,0.008830,0.000510,0.020319,0.028007,0.028540,0.041088,0.062828,0.020592,0.022614,0.025747,0.029925,0.009446,0.023334,0.033623,0.030375,0.062171,0.034214,0.014601
1976-03-31,-0.099595,0.110431,-0.004117,-0.137051,-0.103094,-0.012452,0.014117,0.031891,-0.002773,0.012476,-0.017109,0.084723,-0.015771,-0.061056,-0.029703,-0.150058,0.014400,-0.077992,-0.027829,0.059376,0.007009,-0.049129,-0.018671,-0.031250,-0.018316,-0.069650,-0.034996,-0.019071,-0.062501,-0.049178,-0.019336,0.005274,0.008660,-0.001330,-0.007181,-0.013472,-0.027192,-0.015986,-0.072498,-0.088051,-0.044455,-0.074229,-0.025309,-0.015016,0.005332,-0.006782,0.000429,-0.025484,-0.036836,0.029615,-0.004740,0.001928,-0.067886,-0.012480,-0.061986,-0.007788,-0.048323,-0.030866,-0.025938,-0.015561,-0.016632,0.007554,-0.002437,-0.002933,-0.012230,-0.009772,-0.023354,-0.029517,-0.006159,-0.010143,-0.026359,-0.017826,0.018530,-0.052262,-0.031414,-0.038832,0.023107,0.009449,-0.046420,-0.022778,0.026881,-0.020061,0.026582,-0.044263,-0.027010,-0.029566,0.008953,-0.008319,0.014899,-0.004468,0.045938,-0.011223,0.011977,-0.042747,-0.003123,-0.030424,0.025319,-0.024598,0.000790,0.015245,-0.040062,-0.035383,-0.029993,-0.022520,-0.006275,-0.020384,-0.004244,-0.013075,-0.015669,0.004126,0.003727,0.008486,0.000736,-0.007413,-0.021512,-0.017700,-0.016117,0.025651,0.006925,0.009571,0.012899,-0.010127,0.017337,0.003489,-0.011552
1976-04-30,-0.019050,-0.017950,-0.032367,-0.018894,-0.027578,-0.115332,-0.082433,0.035181,-0.056178,-0.025088,-0.120000,0.146192,-0.056764,-0.054111,-0.081094,0.088240,-0.070296,0.066989,-0.037831,-0.080250,-0.018368,-0.043613,-0.040719,-0.007877,-0.116722,-0.102483,0.007128,-0.044569,-0.024248,-0.098367,-0.015232,-0.035259,-0.037124,-0.014791,-0.044017,0.017050,0.010500,-0.054924,-0.022197,-0.050813,-0.007832,0.006543,-0.054705,-0.039524,0.008734,-0.053420,-0.033054,-0.041903,0.041666,0.006531,-0.148329,0.003232,-0.033758,0.016996,-0.037585,-0.045763,-0.022423,0.009039,-0.026742,-0.037117,-0.008371,-0.031088,-0.018080,-0.018327,-0.029043,0.040258,-0.072490,0.002881,0.009255,-0.060589,-0.008356,-0.012592,-0.006924,0.007212,-0.047877,-0.014803,-0.017407,0.011336,0.020348,-0.021560,-0.006120,0.007667,-0.035277,-0.020349,-0.012961,-0.020154,-0.000933,-0.036086,-0.009430,-0.019767,-0.009412,0.000502,-0.000385,0.000114,-0.043336,-0.030379,-0.001789,-0.012727,0.006446,-0.051924,-0.026119,-0.035011,0.006604,-0.056186,0.012682,-0.008246,-0.031548,-0.023633,0.011073,0.006985,0.016748,0.010106,-0.018329,-0.004315,-0.025348,-0.037404,0.009480,-0.004729,-0.010299,-0.013028,0.003588,0.000014,0.034642,-0.007516,-0.013410
1976-05-31,-0.001776,0.002473,0.020263,0.001207,-0.000152,-0.010285,0.023142,0.020749,0.002510,-0.011571,-0.077732,0.009892,0.022083,-0.079058,0.087175,-0.006651,0.016499,0.023045,-0.063382,-0.078743,0.008168,-0.017102,0.013756,-0.054163,-0.004506,-0.026578,-0.031954,0.088346,0.055005,0.040010,0.005700,0.009158,0.031581,0.026839,0.016028,-0.095473,-0.049252,0.004202,0.013352,0.007127,0.057618,0.037653,0.059956,0.020123,0.032054,0.019953,0.022358,-0.002504,0.020270,0.028257,0.000276,0.090277,0.007878,0.037615,0.061182,0.071969,-0.012095,0.061747,0.034207,0.021551,0.011407,0.026387,0.017147,0.017077,0.028423,0.018690,0.025600,0.025785,0.032612,0.030540,0.049815,0.030355,0.031987,0.026072,0.030310,0.039557,0.041802,-0.023945,0.057022,0.098194,0.048756,0.019436,0.018299,0.060303,0.057711,0.033205,0.032998,0.041620,0.017358,0.053444,0.027617,0.065273,0.039565,0.061686,0.072611,0.041374,0.009783,0.053629,0.036053,0.091865,0.050301,0.037952,0.045772,0.080789,0.026418,0.086661,0.010514,0.041996,0.001914,0.031385,0.062430,0.030589,0.031728,0.046047,0.068081,0.045485,0.065919,0.044359,0.062925,0.055501,0.086803,0.075890,0.046992,0.053016,0.053724
1976-06-30,0.007923,-0.000372,-0.001983,0.031070,-0.000605,0.010491,0.110327,0.010133,-0.038462,-0.005182,0.033511,0.006918,0.018867,0.083998,-0.002013,-0.009809,0.052685,0.016867,0.034367,0.074700,0.002522,-0.136131,-0.007721,0.090909,0.020822,-0.055073,-0.001564,-0.045040,-0.004242,-0.069609,-0.013732,0.000723,0.020627,-0.003586,-0.011180,0.015553,-0.019225,0.010041,0.028392,-0.007708,-0.022395,0.019345,-0.011000,0.003435,0.037270,0.048074,0.034509,-0.000325,-0.003950,0.075909,-0.042012,-0.052908,-0.016729,0.021666,-0.014643,-0.025938,0.007769,0.001777,0.015560,0.008282,-0.010116,0.003483,0.003808,0.008913,-0.004268,-0.048747,0.046448,-0.015525,0.010882,0.014662,0.006500,0.006353,0.040397,0.031240,0.043985,-0.020330,-0.001348,-0.045638,-0.005263,-0.016674,-0.004595,0.003519,0.003300,-0.000891,-0.027075,-0.004842,0.003506,0.024876,0.009165,-0.000259,-0.010568,0.024301,0.002759,0.009540,-0.009532,-0.008366,0.031820,0.012436,0.026024,0.007931,-0.009343,-0.032278,-0.017984,-0.004076,-0.041249,-0.035362,-0.028697,-0.029153,-0.011820,-0.016774,0.000377,0.017892,0.018326,-0.007550,-0.033739,0.041973,0.002109,0.018709,-0.006148,-0.025461,0.003280,0.016300,0.014393,0.029280,0.020094
1976-07-31,-0.033621,-0.024677,-0.028720,0.002085,-0.004937,-0.021786,0.097857,-0.043623,,0.028373,0.026881,0.012269,0.030305,-0.032937,0.030258,0.194113,-0.066054,-0.104706,-0.047167,-0.086864,-0.092928,-0.055027,-0.071673,-0.041001,0.028595,-0.070848,-0.028877,0.032760,-0.060124,-0.036266,-0.077162,-0.049304,-0.007823,-0.023603,-0.023538,-0.016164,,-0.057959,-0.011768,-0.091984,-0.083994,-0.065116,-0.031005,0.005319,-0.024190,-0.069874,-0.032878,-0.034599,-0.037978,0.080602,-0.038177,-0.119909,-0.071576,-0.013648,-0.036088,-0.051903,-0.003846,-0.026998,-0.010661,-0.041076,-0.020480,-0.020068,-0.013211,-0.020920,-0.010834,-0.031430,-0.025168,0.011061,-0.007822,0.007767,0.000026,-0.010717,-0.025237,-0.026522,0.029606,-0.030933,-0.055478,-0.030401,-0.027495,-0.032885,-0.032421,0.021537,-0.005015,-0.000476,-0.025131,-0.048397,-0.008695,-0.010763,-0.018108,-0.013773,-0.032857,-0.014899,0.001997,0.011493,-0.040015,-0.032367,-0.005813,-0.002453,-0.020376,-0.021493,0.005021,-0.017310,-0.018013,0.002074,-0.011159,0.013823,-0.011189,-0.001059,-0.038149,-0.013575,0.007404,-0.001865,0.040789,-0.023264,-0.019299,0.024589,0.040949,0.014080,0.000748,-0.017704,0.001136,0.009862,0.005002,-0.000321,-0.026135
1976-08-31,-0.003391,-0.012215,-0.035980,-0.014166,0.024406,0.030148,-0.063416,-0.053246,0.307692,-0.054580,0.043734,0.070190,-0.081149,0.027738,0.000031,-0.021184,0.036521,0.017374,-0.032354,-0.012004,-0.020026,0.004216,-0.124903,0.075904,-0.005282,0.003789,-0.040264,0.012907,0.014380,0.021873,0.004121,0.019698,0.008249,0.018817,-0.002218,-0.037440,-0.002198,0.049875,-0.003924,0.021311,-0.043244,-0.001370,0.008233,-0.010537,0.010837,0.002643,0.017705,0.066800,0.022382,0.015710,0.029142,0.031946,0.024823,0.009198,0.041506,-0.005019,0.014461,0.022300,0.036316,0.022612,0.028495,0.023424,0.017605,0.013767,0.011550,-0.037094,0.030467,0.039753,0.023953,0.012519,0.023969,0.019008,0.018499,0.040944,0.023424,0.048804,0.049154,0.070493,0.045111,0.042400,0.050117,0.030493,0.028158,0.029871,0.012252,0.028680,0.040431,0.036082,0.025325,0.035171,0.030035,0.023018,0.029440,-0.000627,0.058765,0.000782,0.030627,0.006454,0.018313,0.008726,0.026744,-0.003710,0.019961,0.015674,0.023816,0.003066,-0.000707,0.029728,0.044834,0.020381,0.074417,0.037760,0.046682,0.038633,0.002812,0.023229,0.039152,0.022045,0.024373,0.024225,0.040265,0.040185,0.044184,0.031584,0.039208
1976-09-30,-0.016238,-0.032072,-0.053477,-0.020566,-0.017608,-0.026461,-0.079482,-0.050661,0.053740,0.031998,-0.032049,-0.032808,0.027409,-0.029823,-0.111149,-0.076496,-0.107231,-0.003030,0.074299,0.016107,-0.051457,-0.018769,-0.058262,0.000000,-0.131429,-0.045437,0.041092,0.017673,-0.012042,-0.066063,-0.028055,-0.014311,-0.026639,-0.018167,-0.026600,-0.041801,-0.015742,-0.024521,0.019865,-0.025609,-0.004865,-0.003504,-0.012093,-0.013781,-0.092347,-0.045145,-0.058370,-0.058278,-0.086125,-0.059292,-0.011653,-0.040225,-0.035789,-0.073276,-0.016119,0.000953,-0.025084,0.002743,-0.004116,-0.024136,-0.029521,-0.008017,-0.013328,-0.009260,-0.039242,-0.010531,-0.000485,-0.034716,-0.044518,-0.014649,-0.013869,-0.024544,-0.060972,-0.035127,-0.006208,-0.035254,-0.020114,-0.046971,-0.022142,-0.017944,-0.019317,-0.045188,-0.028015,-0.002906,-0.027554,-0.034600,-0.017715,-0.010760,-0.008060,-0.026790,-0.035625,-0.002905,0.016715,0.007723,-0.024599,-0.036874,-0.002962,-0.030630,-0.020302,-0.002639,-0.024333,-0.029876,-0.031616,-0.029805,-0.067506,-0.014960,-0.022522,-0.047785,-0.011152,-0.040851,-0.020456,-0.010256,-0.002441,-0.005739,-0.030388,-0.007464,-0.030323,0.006315,-0.016337,-0.011757,-0.040438,-0.022050,-0.006175,-0.020929,-0.050975
1976-10-31,0.018938,0.019451,0.024032,0.007369,0.021590,-0.008003,0.086957,-0.029919,,0.040771,0.174230,0.053983,-0.026565,-0.041313,-0.013155,0.124585,0.064889,-0.009922,-0.054054,0.148148,0.006164,0.005397,-0.050357,,0.111111,-0.034409,-0.006289,-0.004274,0.045923,-0.034133,0.010513,0.032800,0.025173,0.062774,0.023840,0.058287,-0.018298,0.017410,0.038455,0.074571,-0.020751,0.004358,-0.001910,0.030374,0.027022,0.035127,0.016629,-0.009408,0.067034,0.102662,-0.036964,0.022327,0.024103,0.090129,0.040958,-0.006138,0.043830,0.038847,0.033866,0.015971,0.000942,0.036168,0.045661,0.028821,0.046242,0.018410,0.011198,0.040518,0.054085,0.032610,0.009463,0.044389,0.014103,0.039137,-0.000973,0.024921,0.081971,0.030711,0.069131,0.050594,0.022463,0.050760,0.027853,0.027656,0.043579,0.035194,0.036122,0.037812,0.038191,0.032603,0.031940,0.038993,0.019504,0.056366,0.067910,0.029995,0.030097,0.018667,0.051698,0.064633,-0.055055,-0.020649,0.027105,0.009885,0.055738,0.015423,-0.009123,0.022183,0.012671,0.028097,0.022614,-0.004745,0.016005,0.009739,0.015427,0.032323,0.026544,0.017884,0.037615,0.034931,0.038777,0.004857,0.033972,0.064663,0.024126
