public_date,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9
1976-01-31,0.044961,0.006161,0.018912,0.004910,-0.017359,0.005578,-0.013029,0.004513,0.045354,0.045966
1976-02-29,-0.010677,0.019896,0.008789,0.035283,0.018904,0.027568,0.029505,0.048865,0.020029,0.035261
1976-03-31,-0.007596,0.000640,-0.000802,-0.002549,-0.005078,-0.000557,-0.017550,-0.028861,-0.025968,-0.034956
1976-04-30,-0.039803,0.002207,0.004594,-0.013286,-0.010518,0.001008,-0.016015,-0.014867,-0.017978,-0.023550
1976-05-31,0.035098,0.044648,0.037830,0.046142,0.063965,0.034375,0.051320,0.043606,0.038582,0.071379
1976-06-30,-0.013896,-0.003288,-0.000886,-0.001926,0.000360,-0.000972,-0.011658,-0.012678,-0.010615,-0.013197
1976-07-31,-0.038584,-0.012413,-0.003208,-0.011906,-0.002186,0.002114,0.012283,0.003716,-0.010479,-0.018718
1976-08-31,0.026951,0.029054,0.022924,0.031581,0.018537,0.027215,0.023831,0.041034,0.002096,0.026617
1976-09-30,-0.025403,-0.013536,-0.025161,-0.007706,-0.019974,-0.018529,-0.021433,-0.025799,-0.021697,-0.036572
1976-10-31,0.040556,0.004661,0.015674,0.020489,0.022032,-0.006020,-0.000001,0.004359,0.007388,0.025739
1976-11-30,0.057977,0.095581,0.066149,0.055702,0.063829,0.053866,0.064840,0.045132,0.058484,0.071989
1976-12-31,-0.003630,-0.033128,-0.028125,-0.025207,-0.038133,-0.036356,-0.041037,-0.048352,-0.053805,-0.032265
1977-01-31,-0.008525,-0.020136,-0.010210,-0.018059,-0.016900,-0.015018,-0.010866,-0.022125,-0.022334,-0.020220
1977-02-28,0.002142,-0.000980,-0.002961,-0.007641,0.002483,-0.011193,-0.013627,-0.012329,-0.028289,0.002516
1977-03-31,0.013238,0.023146,0.018426,0.018310,0.010680,0.018143,-0.026949,-0.016162,0.006890,0.024994
1977-04-30,-0.010348,-0.006403,-0.005938,-0.009494,-0.007689,-0.014846,-0.002308,-0.024409,-0.004685,-0.012785
1977-05-31,0.042342,0.040208,0.043770,0.041685,0.051230,0.038903,0.062477,0.061840,0.058012,0.089485
1977-06-30,-0.009662,-0.017460,-0.013125,-0.018823,-0.014082,-0.017128,-0.001335,-0.015750,-0.015578,-0.016571
1977-07-31,-0.003552,-0.035725,-0.027796,-0.013555,-0.015744,-0.025011,-0.006994,-0.004787,0.004718,0.002673
1977-08-31,0.003949,0.000073,0.002581,-0.000456,0.005757,0.010131,-0.010123,-0.004469,0.006505,-0.004068
1977-09-30,-0.041286,-0.032090,-0.037992,-0.034132,-0.036424,-0.034509,-0.036577,-0.041678,-0.060225,-0.043002
1977-10-31,0.049025,0.043160,0.054540,0.046054,0.051463,0.028001,0.048564,0.054568,0.036420,0.101722
1977-11-30,-0.002265,0.019743,0.014714,0.003885,0.013114,0.010788,0.004428,0.013129,-0.011614,0.003431
1977-12-31,-0.030280,-0.064311,-0.058970,-0.045218,-0.061478,-0.056826,-0.049267,-0.059349,-0.065692,-0.052317
1978-01-31,-0.019838,-0.013059,-0.009729,-0.013909,-0.009869,-0.004066,-0.022789,-0.015876,0.006763,0.006842
1978-02-28,0.055835,0.055093,0.045834,0.024818,0.036053,0.032656,0.001242,0.050529,0.043658,0.064754
1978-03-31,0.047613,0.081893,0.072765,0.059991,0.088295,0.057819,0.097464,0.103186,0.104909,0.124735
1978-04-30,0.065665,0.047155,0.024579,0.016240,0.029290,0.012860,0.009750,0.025931,0.019252,0.065703
1978-05-31,-0.004122,-0.002697,-0.009068,-0.004398,-0.009772,-0.007058,-0.020261,-0.003873,-0.024407,-0.011850
1978-06-30,0.058027,0.047064,0.047752,0.044738,0.056925,0.034754,0.063474,0.074897,0.063639,0.089348
1978-07-31,0.053849,0.056892,0.046426,0.038242,0.035643,0.031853,0.046104,0.042485,0.048931,0.049235
1978-08-31,0.007153,0.011782,-0.004341,0.001816,-0.004414,-0.001854,-0.011704,-0.006550,-0.016324,-0.036137
1978-09-30,-0.165716,-0.132579,-0.105822,-0.115655,-0.106108,-0.094358,-0.094177,-0.120662,-0.114055,-0.192744
1978-10-31,0.001110,0.035596,0.025507,0.023222,0.030646,0.036199,0.044695,0.030862,0.055054,0.099957
