public_date,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9
1976-01-31,381,382,381,382,385,381,383,379,382,373
1976-02-29,379,376,378,377,380,381,380,372,377,362
1976-03-31,376,381,378,381,382,378,381,378,379,378
1976-04-30,380,378,380,380,380,379,379,381,376,376
1976-05-31,375,379,377,380,379,379,379,379,376,376
1976-06-30,380,382,383,383,388,384,381,383,382,382
1976-07-31,371,369,371,369,366,356,359,351,346,334
1976-08-31,382,381,384,384,382,381,384,383,381,380
1976-09-30,379,384,377,383,382,383,382,381,380,378
1976-10-31,381,383,384,383,384,382,384,382,384,379
1976-11-30,379,380,382,383,383,384,383,381,382,379
1976-12-31,377,379,376,379,383,380,380,378,373,370
1977-01-31,380,381,379,380,383,380,380,380,378,376
1977-02-28,378,381,381,378,382,378,380,378,381,374
1977-03-31,379,381,380,379,382,379,378,380,380,376
1977-04-30,373,379,380,381,379,378,380,381,380,374
1977-05-31,378,379,379,378,380,380,377,377,379,374
1977-06-30,377,383,383,382,381,382,383,381,381,377
1977-07-31,378,381,382,384,382,382,381,382,382,378
1977-08-31,379,382,381,380,384,382,382,377,380,372
1977-09-30,379,381,378,381,384,379,381,379,377,368
1977-10-31,380,378,378,381,383,381,381,380,379,370
1977-11-30,379,376,378,379,379,380,380,379,375,368
1977-12-31,374,378,381,378,382,378,377,378,375,362
1978-01-31,375,378,374,376,379,375,377,378,377,368
1978-02-28,374,376,375,376,380,376,375,375,375,369
1978-03-31,370,377,375,376,377,375,377,376,375,370
1978-04-30,372,375,377,376,377,374,373,376,373,370
1978-05-31,367,373,371,374,373,371,375,373,370,370
1978-06-30,376,379,379,380,380,381,377,379,377,374
1978-07-31,374,375,379,377,382,381,378,376,375,372
1978-08-31,373,376,378,377,378,379,377,377,374,374
1978-09-30,374,376,377,377,376,378,376,379,377,371
1978-10-31,373,376,377,376,375,376,378,378,376,375
1978-11-30,370,375,377,377,374,377,376,377,378,373
1978-12-31,370,374,378,373,379,379,378,378,375,375
1979-01-31,373,375,377,375,377,375,375,377,375,374
1979-02-28,374,373,375,376,379,375,375,375,374,373
1979-03-31,372,378,377,379,380,376,376,377,378,376
1979-04-30,374,378,378,377,376,378,377,379,378,378
1979-05-31,372,378,376,377,376,375,378,378,377,375
1979-06-30,385,389,385,388,391,389,387,386,387,380
1979-07-31,383,387,385,387,385,386,386,387,387,379
1979-08-31,382,385,385,384,387,385,385,381,384,378
1979-09-30,385,385,385,385,388,383,384,384,386,380
1979-10-31,383,382,385,386,385,384,383,386,385,382
1979-11-30,385,383,383,382,381,381,383,385,384,377
1979-12-31,374,382,383,381,383,384,383,385,381,376
1980-01-31,376,378,381,381,381,382,380,381,379,379
1980-02-29,374,380,376,380,379,377,377,380,379,380
1980-03-31,377,376,380,379,381,379,376,378,375,370
1980-04-30,370,376,378,376,376,375,378,378,377,374
1980-05-31,371,375,378,377,377,375,377,375,375,369
1980-06-30,379,384,384,384,385,382,383,380,382,379
1980-07-31,381,382,382,383,382,383,380,383,381,373
1980-08-31,379,380,378,382,381,382,380,378,381,368
1980-09-30,378,381,380,381,382,381,381,380,381,378
1980-10-31,377,381,382,379,381,380,380,381,378,374
1980-11-30,378,380,381,381,382,378,380,381,379,377
1980-12-31,379,380,383,380,382,378,380,379,381,378
1981-01-31,371,378,379,379,380,377,378,380,379,369
1981-02-28,377,374,378,380,379,376,379,378,377,373
1981-03-31,376,378,377,376,378,378,379,379,379,372
1981-04-30,376,376,377,377,378,377,376,376,378,374
1981-05-31,371,374,377,375,378,376,375,376,374,375
1981-06-30,387,389,389,389,390,391,390,388,386,388
1981-07-31,385,388,388,389,386,389,389,389,388,383
1981-08-31,381,389,388,389,389,387,387,385,382,378
1981-09-30,385,387,391,389,390,389,390,390,388,385
1981-10-31,387,390,390,390,390,391,390,390,390,382
1981-11-30,387,389,389,389,390,389,390,389,389,384
1981-12-31,387,396,393,395,396,394,395,390,394,383
1982-01-31,392,395,395,393,393,394,394,393,391,387
1982-02-28,391,393,395,391,391,393,393,396,392,385
1982-03-31,394,394,396,395,398,396,397,397,393,387
1982-04-30,392,396,396,395,396,396,396,396,394,390
1982-05-31,392,394,394,395,395,395,395,392,394,391
1982-06-30,410,412,416,414,413,413,416,411,411,397
1982-07-31,410,414,416,415,416,414,413,415,413,405
1982-08-31,408,414,415,410,414,413,410,413,409,404
1982-09-30,411,417,413,415,416,415,415,411,412,404
1982-10-31,410,415,411,415,419,414,413,412,409,406
1982-11-30,407,413,414,414,415,414,415,413,411,411
1982-12-31,404,412,418,417,416,417,418,417,418,410
1983-01-31,415,416,413,415,415,415,415,411,414,410
1983-02-28,407,414,414,415,415,416,415,413,414,408
1983-03-31,416,414,414,416,415,416,415,416,413,405
1983-04-30,409,414,416,416,417,416,414,414,412,407
1983-05-31,413,409,412,412,416,410,412,409,411,408
1983-06-30,420,420,421,422,424,423,422,421,421,420
1983-07-31,414,418,419,420,423,420,421,419,420,415
1983-08-31,415,419,419,419,420,417,421,418,418,414
1983-09-30,417,421,418,419,421,421,421,418,419,412
1983-10-31,415,420,420,420,420,419,420,418,418,413
1983-11-30,415,419,420,420,416,419,418,418,419,411
1983-12-31,407,421,421,422,421,417,421,419,418,414
1984-01-31,416,416,419,418,420,417,419,416,416,408
1984-02-29,414,416,418,418,419,417,417,417,415,414
1984-03-31,413,422,420,421,423,422,421,419,420,414
1984-04-30,416,422,422,422,423,422,422,422,423,410
1984-05-31,417,418,423,420,422,421,422,420,413,410
1984-06-30,442,448,445,447,448,447,445,448,445,437
1984-07-31,444,449,449,450,450,449,446,447,448,441
1984-08-31,436,447,449,450,448,447,445,448,447,428
1984-09-30,445,451,449,450,450,450,447,448,447,433
1984-10-31,438,449,449,449,449,447,445,447,450,434
1984-11-30,442,447,449,447,448,449,446,444,446,441
