public_date,port_beta,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
01-31-1976,0,377,0.3877678094,0.0044740505,0.0043436618,,0.001072276,0.0000873683,0.0001506404,0.0027670548,0.0959959748,0.0110892511,0.001573688,-0.488270216,0.0342333492,0.1620849653,0.0000365482,,594765.5325,0.0005281106,-1.536532783,-0.008409885
01-31-1976,1,376,0.3247376489,-0.000644378,-0.022094874,,0.0010379292,0.0001014912,0.000171181,0.0022984804,0.0828568841,0.0152421184,0.0095674979,0.0147541671,0.035227519,0.112919791,0.0000450255,,1542958.8999,0.0004104876,-0.459910961,-0.006072939
01-31-1976,2,376,0.4187879119,0.0010078209,0.0015773202,,0.0008304134,0.0000902239,0.0001508143,0.0018084024,0.1400253548,0.0219825697,0.0100819771,0.1430508005,0.0399685566,0.1434948481,0.0000398176,,1987185.2096,0.0003080125,0.1928694919,-0.012780219
01-31-1976,3,376,0.4973284711,0.0026297099,0.0070551737,,0.0009519587,0.0001034454,0.0001618661,0.0022086405,0.0961744704,0.0290477833,0.0095214429,-0.534828547,0.0356327742,0.1767064393,0.0000514406,,1169356.5978,0.0003522518,0.6002877798,-0.006997803
01-31-1976,4,544,0.4209263166,0.0038374544,-0.010832187,,0.0008131428,0.0000980279,0.0001701363,0.0019903656,0.128203322,0.02002248,0.0068433641,0.2748401633,0.0369076041,0.1445656789,0.0000431943,,5826631.7583,0.0002601795,1.0471584276,0.0012610606
01-31-1976,5,376,0.4164272298,0.0018484871,0.0016163173,,0.0006535998,0.0000750697,0.0001259668,0.0012787801,0.0689219967,0.0180116445,0.0092579499,-0.1671835,0.0398107553,0.1364625402,0.0000283344,,14892837.295,0.0002219847,1.4693955119,-0.011403213
01-31-1976,6,376,0.4830529947,0.0030113333,0.0150645573,,0.0006814268,0.0000771699,0.0001186577,0.0016677184,0.0634085132,0.0162528844,0.0048763405,0.0006711383,0.0432926372,0.1680006941,0.0000319777,,2335611.6828,0.000389169,1.9117198564,-0.02040324
01-31-1976,7,376,0.6948264254,0.0016603283,0.0220068949,,0.000674244,0.0000733514,0.0001436623,0.0017784731,0.1085810136,0.012639694,0.0155836521,-0.049018728,0.0379075025,0.2274579255,0.0000223509,,7745215.1232,0.0003203509,2.4542096923,-0.001955189
01-31-1976,8,376,0.7484590391,-0.000039734,0.0407364147,,0.0008289558,0.0000786343,0.0001200196,0.0021984735,0.1550619909,0.0098304804,0.0123081555,-0.395716389,0.037354674,0.2361256381,0.0000309959,,1257703.5313,0.0006215068,3.265216421,-0.026121101
01-31-1976,9,377,1.1385900925,0.0056190966,0.0430991069,,0.0007341891,0.0000627178,0.0001226382,0.0018357446,0.1510811799,-0.004718022,0.0034290445,-1.060542138,0.0424918143,0.3381779219,0.0000393055,,739529.77562,0.0008055278,4.844480938,0.0001719106
02-29-1976,0,376,0.1863678612,0.0052537011,-0.002222081,,0.0009102848,0.0000785491,0.0001296492,0.0030500824,0.025696183,0.0124813142,0.0019760013,-0.885525075,0.0360018972,0.0437657177,0.0000452667,,364712.10795,0.0008289774,-1.990033466,0.1221757551
02-29-1976,1,376,0.175273085,0.0049179801,-0.010481804,,0.0010871295,0.000100024,0.000182645,0.0026152431,0.1102800779,0.0135512763,0.0088123083,-0.205507654,0.034263989,0.0297258522,0.0000379936,,1391295.5041,0.0004697979,-0.674870209,0.1187652874
02-29-1976,2,375,0.2331163575,0.0019606274,-0.003411536,,0.00087568,0.0000934609,0.0001566432,0.0018155614,0.1488426786,0.0163082706,0.0103821246,0.1352135111,0.0390763673,0.0434571739,0.0000395473,,1279875.0033,0.0003415897,0.0045709312,0.1283282678
02-29-1976,3,375,0.2454622341,0.0015116718,0.0013550786,,0.0009375231,0.0000942963,0.0001478526,0.0021760443,0.1024832418,0.0233360747,0.0074697494,-0.414559609,0.0343755963,0.0397222312,0.0000516756,,1871660.3731,0.0003589604,0.4646832558,0.1312993857
02-29-1976,4,538,0.2508582118,0.0017757142,0.0061228175,,0.0008083336,0.0000929651,0.0001484336,0.0019546755,0.1053499988,0.0279997126,0.0079098198,-0.209640686,0.0390866175,0.0653324047,0.0000505499,,1913632.3983,0.0003892104,0.8917125569,0.1411174029
02-29-1976,5,376,0.2311086957,0.00284855,-0.005934938,,0.0006992192,0.0000863814,0.0001475651,0.0014120805,0.0853003724,0.0166629245,0.0097427698,0.0743315794,0.0394908166,0.0745626345,0.0000288313,,14933991.998,0.0002174626,1.3426580065,0.1264702465
