public_date,port_svar,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
01-31-1976,0,383,0.4227022237,0.0028958211,0.0027410088,,0.0007292351,0.000087752,0.0001562446,0.0013335889,0.1061115988,0.0250764895,0.0117397041,0.1775829258,0.0401767537,0.1367820456,0.0000293821,,14152387.438,0.0001205329,1.1890540596,-0.000780719
01-31-1976,1,383,0.4963208671,0.0015501703,0.0051811965,,0.0006675779,0.0000776645,0.0001272034,0.0016051881,0.1180928126,0.0146012222,0.0121390399,-0.148016422,0.038074886,0.1510204686,0.0000271642,,4740004.6351,0.0002239316,1.4965759207,-0.014757217
01-31-1976,2,382,0.4956861003,0.0018310165,0.0007743587,,0.0007761331,0.0000910144,0.0001438422,0.0018278146,0.0922267982,0.0211660671,0.0064256195,-0.103148545,0.0382431144,0.1601174075,0.0000365238,,1642928.778,0.0003319024,1.0853576134,-0.009630827
01-31-1976,3,383,0.4942813766,0.0025912376,0.0043634924,,0.0008430885,0.0000929499,0.0001518336,0.0021928056,0.0973061748,0.0078127521,0.0113268519,-0.360910992,0.0397098026,0.191225647,0.0000284338,,1145374.3401,0.0004697522,1.3937391203,-0.010646063
01-31-1976,4,486,0.6474603445,0.0022973831,0.0192531016,,0.0009140491,0.0000978079,0.0001373087,0.0023432117,0.1193219645,0.0168243902,0.0091227583,-0.167291866,0.037696207,0.2354431462,0.0000486509,,444048.43464,0.0006230032,1.7900489335,-0.007309076
01-31-1976,5,382,0.7768340075,0.0023504658,0.0300360133,,0.0010042752,0.0000896797,0.0001509676,0.0028902797,0.1317620636,0.0100356078,0.0123908032,-0.454258325,0.0390607848,0.2383675378,0.0000505301,,438624.72612,0.0008243167,2.0810863393,-0.042475758
01-31-1976,6,383,0.7785915208,-0.001895806,-0.001865809,,0.0014159402,0.0000556935,0.0001493927,0.0043067683,0.0820719217,0.0051405451,0.0033538431,-0.26337073,0.0302955955,0.3073505156,0.0000697813,,269843.01157,0.0010738281,2.0254208865,0.000341019
01-31-1976,7,382,0.8618217685,0.0051400891,0.0868093086,,0.0014019138,0.0000558731,0.0001287864,0.0048167704,-0.034137572,0.0093859517,-0.002890339,-0.609536754,0.0302247906,0.3655398839,0.000095334,,91750.070665,0.0014944678,1.898923732,-0.004524279
01-31-1976,8,383,0.8347813218,0.0003642696,0.0110595575,,0.0014460423,-6.495359E-6,0.0001080026,0.0052851766,-0.055825258,0.0014256039,0.0034538866,-0.678708875,0.0170246473,0.4383378984,0.0001251954,,52076.6289,0.0022760327,1.8599753731,0.0228748335
01-31-1976,9,383,0.6223548378,0.0029671301,0.0241963271,,0.0015722318,-0.000121219,0.000029884,0.0062430272,-0.086079604,-0.007561205,-0.016864236,-1.043843366,0.0043911804,0.4248429737,0.0001054578,,31678.980721,0.0051411911,1.8598983819,0.0429386334
