date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLD,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
1976-01-31,4.66747e-05,2.0021199999999997e-05,2.91175e-05,1.6202100000000002e-05,6.537350000000001e-05,2.21823e-05,6.18212e-05,4.8142441e-06,2.54427e-05,1.9184e-05,1.13754e-05,8.11291e-05,4.7684399999999994e-05,9.8997021e-07,3.15244e-05,3.6971399999999996e-05,2.68643e-05,4.887e-05,5.99179e-05,8.09094e-05,4.6590872e-06,2.16127e-05,8.331091599999999e-06,1.89731e-05,6.5872e-05,3.38325e-05,1.0545399999999999e-05,3.37557e-05,3.53636e-05,1.41622e-05,6.9705416e-07,4.1141097e-06,5.330668000000001e-07,1.0953299999999999e-05,5.52882e-05,0.00012064370000000001,6.03704e-05,2.31293e-05,1.84555e-05,4.5936800000000004e-05,3.09236e-05,1.47798e-05,2.706e-05,2.9578299999999998e-05,0.0001024202,3.74289e-05,4.8369700000000005e-05,7.2160245999999995e-06,5.7344e-05
1976-02-29,4.3828999999999997e-05,2.0619099999999997e-05,2.82802e-05,1.7037899999999998e-05,6.78143e-05,2.25136e-05,5.96018e-05,4.718257e-06,2.617e-05,1.91707e-05,1.0911700000000001e-05,7.67799e-05,4.43771e-05,9.4979704e-07,3.44111e-05,3.58389e-05,2.44797e-05,4.12751e-05,6.1663e-05,7.924310000000001e-05,4.1360339e-06,2.03834e-05,8.5001939e-06,1.70748e-05,6.7175e-05,3.33207e-05,1.04709e-05,3.2186e-05,3.38425e-05,1.3766500000000001e-05,6.7918141e-07,4.245266700000001e-06,5.330668000000001e-07,1.10899e-05,4.9552600000000004e-05,0.0001085101,5.8501099999999995e-05,2.19072e-05,1.75204e-05,4.89952e-05,3.30142e-05,1.25441e-05,2.56136e-05,2.8891799999999997e-05,9.267200000000001e-05,3.5159e-05,4.7432600000000004e-05,3.584739e-06,5.1223599999999995e-05
1976-03-31,4.2507700000000006e-05,2.0693499999999998e-05,2.69251e-05,1.71435e-05,6.87352e-05,2.0999e-05,6.19229e-05,4.658785e-06,2.60571e-05,1.95837e-05,1.04579e-05,7.702760000000001e-05,4.7984899999999995e-05,9.888537e-07,3.21484e-05,3.83066e-05,2.4732399999999997e-05,4.13492e-05,6.32833e-05,8.11914e-05,4.2769803e-06,2.0655e-05,8.1504183e-06,1.82363e-05,6.44317e-05,3.36315e-05,1.01423e-05,3.23991e-05,3.38375e-05,1.46816e-05,6.470150699999999e-07,4.0255848e-06,4.9042146e-07,1.05703e-05,5.22421e-05,0.0001162996,5.55443e-05,2.18263e-05,1.73006e-05,4.70498e-05,3.22166e-05,1.2418199999999999e-05,2.50393e-05,2.94837e-05,9.29892e-05,3.73445e-05,4.72846e-05,3.5168636000000003e-06,5.24728e-05
1976-04-30,4.3266099999999996e-05,2.5354e-05,2.6530700000000003e-05,1.90612e-05,6.99589e-05,2.13046e-05,6.60666e-05,4.3164714000000005e-06,2.7154899999999996e-05,1.95875e-05,1.0554200000000001e-05,7.95784e-05,4.912729999999999e-05,1.0450053e-06,3.35223e-05,3.79444e-05,2.3807199999999998e-05,4.64209e-05,6.21803e-05,8.405729999999999e-05,4.2400883e-06,2.03728e-05,8.9586599e-06,1.7856900000000002e-05,6.61037e-05,3.3548000000000005e-05,1.00987e-05,3.2944699999999996e-05,3.60714e-05,1.4725799999999999e-05,6.4003623e-07,3.9101658e-06,4.9042146e-07,1.08762e-05,5.59437e-05,0.00011283209999999999,5.85613e-05,2.4363800000000002e-05,1.8104100000000002e-05,4.69946e-05,3.37944e-05,1.2676400000000001e-05,2.49314e-05,3.02903e-05,9.68332e-05,3.81046e-05,4.8935600000000006e-05,1.8783867000000001e-06,5.38957e-05
1976-05-31,4.30209e-05,2.7346999999999998e-05,2.76664e-05,1.83138e-05,7.24304e-05,2.17695e-05,6.96781e-05,4.838226400000001e-06,2.9182899999999998e-05,2.05227e-05,1.0581400000000002e-05,8.716790000000001e-05,5.45753e-05,1.0404324e-06,3.43506e-05,3.81765e-05,2.47482e-05,4.94455e-05,6.21643e-05,8.449690000000001e-05,4.3835489999999995e-06,2.29608e-05,9.2602401e-06,2.00719e-05,6.78882e-05,3.51089e-05,1.02494e-05,3.26315e-05,3.87959e-05,1.54646e-05,6.610096800000001e-07,3.6121128999999995e-06,5.8383507e-07,1.14155e-05,5.6423000000000005e-05,0.00011618260000000001,6.297449999999999e-05,2.48517e-05,1.8444100000000002e-05,4.8393e-05,3.46134e-05,1.35025e-05,2.46123e-05,3.0540700000000004e-05,0.00010556520000000001,3.62213e-05,5.1315699999999994e-05,1.705768e-06,5.6663900000000005e-05
1976-06-30,3.7119e-05,2.69886e-05,5.092899999999999e-05,1.74524e-05,7.88453e-05,2.3479299999999997e-05,6.80529e-05,4.5404615000000005e-06,2.69328e-05,2.23766e-05,9.9482814e-06,8.82227e-05,4.9159799999999996e-05,1.0319426e-06,3.6415700000000004e-05,3.94749e-05,2.3455100000000002e-05,4.74766e-05,6.47753e-05,8.96756e-05,2.872695e-06,2.4188000000000003e-05,8.6255265e-06,1.75117e-05,6.331550000000001e-05,4.2931899999999995e-05,1.0253699999999998e-05,3.04323e-05,4.17745e-05,1.54345e-05,1.2748063e-06,4.5157823e-06,5.8383507e-07,1.17328e-05,5.3004700000000004e-05,9.730559999999999e-05,6.31408e-05,2.39008e-05,1.7399e-05,6.28972e-05,3.77895e-05,1.59047e-05,2.34975e-05,3.0439099999999998e-05,9.99373e-05,3.83073e-05,5.1183699999999996e-05,1.6456929e-06,5.60163e-05
1976-07-31,3.67443e-05,2.6790999999999998e-05,5.1996e-05,1.68818e-05,7.704310000000001e-05,2.38618e-05,6.92242e-05,4.4716875e-06,2.76806e-05,2.28869e-05,1.04851e-05,9.188809999999999e-05,5.2822200000000004e-05,1.0101711e-06,3.678e-05,3.97239e-05,2.37079e-05,5.4866999999999995e-05,6.41438e-05,8.84215e-05,3.0142149999999997e-06,2.33291e-05,8.993433300000001e-06,1.66658e-05,6.3456e-05,4.36639e-05,1.0163200000000001e-05,3.0824800000000003e-05,4.36643e-05,1.52051e-05,1.2117773e-06,4.6286936e-06,6.4529139e-07,1.14648e-05,5.15525e-05,0.00011544909999999999,6.88412e-05,2.36605e-05,1.83108e-05,6.02738e-05,3.69135e-05,1.545e-05,2.3384699999999997e-05,3.1992199999999995e-05,0.0001025122,3.8364899999999996e-05,5.13026e-05,1.578614e-06,5.59675e-05
1976-08-31,3.64031e-05,2.7549499999999998e-05,5.2917399999999996e-05,1.6109400000000002e-05,7.62718e-05,2.50163e-05,7.10131e-05,4.5323331e-06,2.8647e-05,2.36504e-05,1.1096600000000001e-05,9.71491e-05,4.90344e-05,1.0432398e-06,3.63829e-05,4.0612100000000004e-05,2.4304299999999997e-05,5.80732e-05,6.47624e-05,8.944379999999999e-05,3.3350920999999998e-06,2.4351999999999997e-05,9.1634038e-06,1.67031e-05,6.35265e-05,4.51466e-05,1.0548900000000002e-05,3.1950300000000005e-05,4.62592e-05,1.53316e-05,1.1856737e-06,4.818126e-06,6.4529139e-07,1.13665e-05,5.0838500000000005e-05,0.0001265902,6.46241e-05,2.40413e-05,1.8695699999999998e-05,5.78382e-05,3.73467e-05,1.70903e-05,2.33513e-05,3.2542199999999995e-05,0.0001096934,4.1061400000000006e-05,5.29186e-05,1.6845840000000001e-06,5.99616e-05
1976-09-30,3.6001500000000004e-05,2.50968e-05,5.07149e-05,1.61226e-05,7.84723e-05,2.3973200000000003e-05,6.85739e-05,4.453523e-06,2.67304e-05,2.38158e-05,1.0863900000000001e-05,9.44849e-05,3.99153e-05,1.0624165000000001e-06,3.51289e-05,4.07518e-05,2.43071e-05,5.44155e-05,6.59159e-05,8.819290000000001e-05,3.0207947999999997e-06,2.27377e-05,9.3642034e-06,1.62703e-05,6.23728e-05,4.09064e-05,1.0248499999999999e-05,3.12389e-05,4.74781e-05,1.4599e-05,1.0858361000000001e-06,4.4200294e-06,7.2120802e-07,1.11418e-05,5.01286e-05,0.0001285085,6.4881e-05,2.3580700000000003e-05,1.63391e-05,5.3409700000000005e-05,3.77098e-05,1.66281e-05,2.3599499999999997e-05,3.2009e-05,0.0001089671,4.13084e-05,5.25475e-05,1.6204464999999999e-06,5.98335e-05
1976-10-31,3.96398e-05,2.4446e-05,5.36988e-05,1.60805e-05,8.13241e-05,2.36374e-05,7.07671e-05,5.0854733e-06,2.8456399999999997e-05,2.4148699999999998e-05,1.18563e-05,9.80551e-05,4.08671e-05,1.1263145e-06,3.66169e-05,4.27646e-05,2.7291e-05,5.639e-05,6.803069999999999e-05,8.80768e-05,2.9659039e-06,2.4386900000000002e-05,9.702968499999999e-06,1.70103e-05,6.47724e-05,4.29028e-05,1.0699300000000001e-05,3.34696e-05,4.9184700000000004e-05,1.54414e-05,1.0050845e-06,4.3855001e-06,1.8030201e-06,1.16124e-05,5.27079e-05,0.0001173593,6.51477e-05,2.3675999999999998e-05,1.76449e-05,5.39547e-05,3.96196e-05,1.70868e-05,2.5657800000000004e-05,3.35035e-05,0.00010682629999999999,4.36983e-05,5.19395e-05,1.5339755e-06,6.143529999999999e-05
