date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLD,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
1976-01-31,717898.81021,191915.58403,10272655.496,1304969.5038,1228255.0325,1922870.3454,338978.60932,486859.49324,323732.85283000005,4467819.2804,1130885.3474,169833.79802000002,216367.14591,478785.6816,3502458.7181,769311.37485,73819.607799,557269.4752399999,1240510.7165,484111.09815,379621.45506,371437.15757,11712234.247000001,92852.720589,3305781.5566,708940.9929899999,1074049.1305,1548812.9726,1175087.3371,616297.77546,932309.0199399999,6801383.3561,116908.99507,3172115.4629,108594.08050999999,99980.385681,3948280.4838,431067.54635,187420.20377999998,2955782.5289999996,4388120.7354,33848748.548,731258.0252,20850101.678,298738.32152,716059.79704,330059.8184,729867.36085,402555.56058
1976-02-29,735414.00455,183986.46537,10613214.755,1276810.5428,1158126.0002,1779162.3679,347607.04751999996,483043.88903,317084.6236,4459323.799,1112934.6513,169932.90131,210585.43939,506902.39058999997,3207254.5678,771067.43965,81894.122001,636248.53981,1199760.8743,460531.1746,383417.47696,400770.91745,11054581.613,100326.01257,2959178.5365,730748.01668,1045273.8627,1662957.6751,1150213.5797,612252.7547899999,919449.39675,6464118.9867,132111.38575,2878890.5047,113336.73565999999,92477.771823,4069031.6893,468138.93363000004,248725.83366,2729100.4710000004,3899869.0942,33532916.523000002,800397.00713,21888169.007,330640.13957,709838.06267,302637.70345,710577.5375399999,391186.78119
1976-03-31,757859.02244,187161.37443,11485167.79,1376225.8487,1156851.716,2129290.0049,328847.83071,489332.26363999996,309325.67858,4271115.4762,1153633.5166,182508.58328,210960.52169000002,470409.11141,3441945.9834,814110.29951,79161.85911599999,657358.07811,1178544.8587,459508.37849,390383.43675,379446.77348000003,12317943.949000001,88902.27459500001,3197520.1343,743401.41163,1025142.0806,1578270.2851,1215554.5374,607365.03827,987822.2139,7040480.4433,123312.19757,3247183.0877,108776.87289000001,95336.869634,4401892.3589,473252.36128,312941.01136999996,2882851.276,4105559.3306,34436668.391,831090.9303199999,22444283.886,335929.55361999996,736823.28322,283848.38033,725523.1541800001,403198.89501
1976-04-30,804132.34406,191451.43435999998,11707369.893,1371728.2046,1148177.7404,2046170.1519,323145.75805,502407.04881000007,306294.75161,4325482.7336,1122374.8020000001,178872.61406,199620.70047,530891.40082,3299453.6055,774174.28078,87390.071313,607619.06281,1172902.7281,449173.57241,400092.98515,377182.01279,10952809.685,94653.00516,3143574.4243,710893.53483,1062838.0112,1652380.8113,1177655.3441,621820.5339800001,987296.7162,7149070.4907,117267.52238,3151578.9310000003,103029.28964,102127.23478,4070597.4710000004,433771.36091000005,322162.26204,2868165.2772,3804232.1728,33258910.158000004,830828.94973,23247103.795,316078.62459,755430.45496,256114.61594000002,726360.9555800001,434181.1431
1976-05-31,829986.06939,176891.15258,11271756.997000001,1344155.9697,1123316.8985,2058526.33,313474.15507,503602.51587,307945.97187,4045741.2341,1126738.6073,164196.73517,204407.1189,583579.02765,3227770.2913,818447.80537,82637.834483,660250.95872,1169700.4958,461119.11228,381563.08100999997,385414.2506,10284623.847000001,77454.661293,3199275.4256,679835.14914,1027499.9325,1681026.4758,1040579.2078,599129.76188,956786.50647,7523643.2441,125935.48677999999,2839347.5629,102755.09726000001,93989.194037,3765342.8412,432572.03374,326895.59141999995,2758687.512,3776085.1447,34307659.76,841268.96685,22241891.26,294317.38191,773403.24445,246732.32769,703367.65186,453609.39436000003
1976-06-30,915835.23495,177560.77358,10962542.357,1461419.8351,1099231.0277,1882582.9012,341528.77071,530018.45173,317072.47319,3778054.9735,1223734.8609,167993.88927,253061.05723,582983.629,3304452.6366,885442.1069100001,97274.117296,680241.31486,1222222.1595,460656.66693999997,402983.71452,428534.20458,9899113.327,81419.856566,3475829.2277,732068.40132,1027023.3536,1715137.6492,1080115.6670000001,595087.74353,1054097.9487,7770502.3867,134040.7397,2850791.855,113703.78375,96795.451971,3707911.5428,417566.88374,291225.91634,2607537.3619999997,3912119.5771,36989967.486999996,891428.76759,22812427.49,302343.37869,811123.18868,246768.73316,722046.64157,458126.54753999994
1976-07-31,879918.11255,181888.33878,10920682.556,1432051.4623,1132296.0946,1854167.0411,347213.04533,522395.25463999994,314028.28099,3692182.0453,1172825.4714,160656.40041,249896.11166,517545.10211000004,3262052.7491,873889.57928,96846.329983,639365.70442,1248718.7443,500173.93341000006,375020.25324,446298.09026,9480783.6874,91250.90041900001,3545336.4894,791415.25658,1012655.4149,1762794.9105,1048489.5585,602692.92667,1020480.2188,7890245.9328,126759.41900000001,3043571.6986,116135.35467999999,99885.03839,3549823.59,411555.65342,309904.71802,2734664.035,4040169.1539,36540606.733,857767.44791,23300431.411999997,296484.49304000003,785216.3911100001,260224.12153000003,745812.5310399999,434174.14637
1976-08-31,910031.32613,176525.8067,10879891.410999998,1353770.9359,1171520.9692,1724786.4261,326472.43448,492214.1447,302878.17141,3481955.3681,1094971.0233,150695.58483,261315.92901999998,515260.57721,3345187.3182,851309.8000899999,95231.056098,604811.72919,1270447.3501,487459.76525,352735.17922,424016.44889,9514468.6655,91298.00825900001,3525349.2092,816438.7105899999,1000076.3953,1715864.5538,999925.84483,590919.1786,989547.13271,7882924.8132,124092.22253,3138537.8183,116553.29271,116177.69709000002,4076394.985,419049.29796999996,285039.27099,2873116.9572,4048633.4377,36828473.195,829630.67446,24300783.809,282966.22073,747496.83011,261046.21106,762376.7417,414158.54162
1976-09-30,959048.09093,196064.80933,11894393.277999999,1278187.9008,1152757.0715,1825808.2408,342044.60451,516798.40167,332429.61678000004,3396059.9154,1147252.6535,167344.48747999998,222652.61343000003,475523.99078,3468516.4019,832111.6762699999,98210.699427,628704.8039,1308967.9843,485656.5736,348670.47342,448656.74106000003,8872762.6052,87647.445825,3574076.7008,832754.22501,1019097.8134,1628581.7038,1025570.0129999999,633531.0682600001,1025448.7046,8282337.7045,118003.40655,3286256.4327,122430.56955999999,125791.70111,3966011.4121,421240.67971,305144.53553,3156425.4845,4029489.255,37954861.928,855470.78204,24597380.71,266643.29287,748329.7224,264412.3818,801151.6373,414455.52814
1976-10-31,882465.31551,207886.07825999998,12152696.287999999,1289317.4715,1101821.6134,1972160.7331,325525.50779,517746.79275,319778.86835999996,3406626.8768,1045311.2628,168829.4638,206898.64864,429174.33501,3317497.4796,775333.37685,84024.499673,608261.91546,1313419.1424,488298.31837,353584.27168,421636.02963,8731335.2377,85228.726491,3530262.0069999998,842832.58995,1013948.4662,1702252.3298,988132.2652299999,586798.04168,1060679.287,7834746.6645,122283.62245,3121968.7772,121772.09413,108213.07977000001,4052969.9484,419400.46802,268979.31640999997,3135936.8361,3879504.7904,36547527.981,789438.0123,25309748.96,267851.87755,742072.07091,266084.11953,791147.82335,416668.50880999997
