date,0,1,2,3,4,5,6,7,8,9
1976-01-31,3.6548200000000004e-05,4.5025500000000005e-05,3.98176e-05,5.1440600000000003e-05,4.31943e-05,2.83344e-05,3.19777e-05,2.2350900000000003e-05,3.09959e-05,3.9305500000000005e-05
1976-02-29,4.52667e-05,3.79936e-05,3.95473e-05,5.1675600000000004e-05,5.0549899999999995e-05,2.88313e-05,4.12712e-05,2.2628800000000003e-05,2.70767e-05,3.32787e-05
1976-03-31,4.42577e-05,3.87374e-05,3.93024e-05,4.8991899999999994e-05,4.26673e-05,3.1411e-05,3.88527e-05,2.0468199999999998e-05,2.91187e-05,3.19335e-05
1976-04-30,4.64112e-05,3.91484e-05,4.1859399999999994e-05,4.70632e-05,3.86056e-05,3.76129e-05,3.75908e-05,2.52055e-05,2.2143200000000002e-05,3.37809e-05
1976-05-31,4.61848e-05,4.09277e-05,4.18247e-05,4.66457e-05,5.1898000000000004e-05,3.38708e-05,3.6519899999999996e-05,2.94244e-05,2.1401199999999998e-05,3.2818200000000004e-05
1976-06-30,4.8005200000000006e-05,4.2631899999999994e-05,4.52872e-05,4.5383299999999996e-05,4.907479999999999e-05,3.95836e-05,3.7984499999999995e-05,2.85138e-05,2.73168e-05,3.32543e-05
1976-07-31,4.6830200000000004e-05,4.34878e-05,4.8875299999999996e-05,4.45591e-05,4.6984099999999996e-05,4.38944e-05,3.8311e-05,3.3761e-05,2.2480300000000002e-05,3.55566e-05
1976-08-31,4.88755e-05,4.6439799999999995e-05,4.65208e-05,4.86026e-05,4.6155699999999996e-05,4.31541e-05,3.87682e-05,3.49301e-05,2.22203e-05,3.7222e-05
1976-09-30,4.8847299999999996e-05,4.43018e-05,4.34582e-05,5.1603e-05,4.57636e-05,3.78958e-05,4.28203e-05,3.2246500000000004e-05,2.454e-05,3.47848e-05
1976-10-31,4.88667e-05,4.9268400000000004e-05,4.21612e-05,5.254270000000001e-05,6.15184e-05,3.33299e-05,5.1223999999999996e-05,3.19488e-05,2.61302e-05,3.8965300000000005e-05
1976-11-30,4.92049e-05,4.73501e-05,4.4056000000000006e-05,5.04894e-05,6.286369999999999e-05,4.00774e-05,4.08361e-05,3.3789e-05,2.4664899999999998e-05,3.93312e-05
1976-12-31,4.64258e-05,4.7532e-05,4.76231e-05,4.34939e-05,5.6793400000000004e-05,3.1493000000000005e-05,4.3700000000000005e-05,3.0341799999999998e-05,2.63354e-05,4.1363400000000004e-05
1977-01-31,5.30488e-05,4.7299600000000004e-05,5.19478e-05,4.46559e-05,5.49891e-05,3.69709e-05,4.5281199999999996e-05,3.43059e-05,2.9408800000000002e-05,3.81498e-05
1977-02-28,5.09995e-05,4.86059e-05,4.83015e-05,5.70574e-05,5.6291999999999996e-05,3.60919e-05,4.62447e-05,3.41416e-05,2.8571300000000002e-05,4.4100299999999995e-05
1977-03-31,5.07836e-05,4.6786e-05,5.0881199999999997e-05,5.1388e-05,5.80608e-05,3.91547e-05,4.78263e-05,3.06534e-05,3.49842e-05,4.44683e-05
