date,0,1,2,3,4,5,6,7,8,9
1976-01-31,14152387.438,4740004.6351,1642928.7780000002,1145374.3401,444048.43463999993,438624.72612,269843.01157,91750.07066499999,52076.6289,31678.980720999996
1976-02-29,13740778.039,3304224.9064,1491572.2942,780904.3204,345189.48851999996,343515.75561,465161.84893000004,83841.472035,67201.13114,16653.941759999998
1976-03-31,14865557.998,4904733.6574,1318969.1895,1011272.4741,518606.90078,335766.75716,188694.37596,252842.09448000003,65453.669989,25852.610563
1976-04-30,14714418.988,4113915.8818,1245633.9219,963492.21961,819629.03349,313186.02496999997,214091.18435,168020.70324,156769.96841,39227.768358
1976-05-31,16363322.795,4437570.0276,1652353.4143,877905.3222,606851.2499899999,865261.3243200001,263104.68111,199551.50475,148560.51549000002,38948.267522
1976-06-30,11584701.650999999,10656478.038999999,3692743.7067,830016.0067,677642.0662100001,986624.1550299999,320864.54673,219706.16596999997,94941.77569400001,37757.205519999996
1976-07-31,17449094.192,4493252.7441,2926656.7338,2317976.0372,971104.93279,439732.71213,300088.52053000004,138404.78617,80248.211126,28075.594746
1976-08-31,17320144.72,3796741.1188,3780873.8912,1871483.6262,1724537.7132,375231.61829,378968.41972,137247.93159000002,62510.691297000005,28623.089135000002
1976-09-30,16521161.215999998,5369592.3067,5232507.9342,1022643.3756,1699242.9015,382207.97611,345792.05623000005,106869.82439,92059.591889,41735.679354
1976-10-31,17461011.459000003,5389617.7304,4586137.2521,3478264.2726,766635.69255,392836.57444,327430.12144,101130.6744,85483.242012,70375.700272
1976-11-30,19819807.332000002,6511767.3779,1920328.0417,3120160.9188,525413.8227199999,422519.7513,313166.23566999997,148651.87842999998,122767.68148,73663.171736
1976-12-31,17623003.587,7042024.6959,3131319.7675,965243.39,729169.19541,447367.73613999994,174393.4775,146195.08851,131119.67788,20946.441056
1977-01-31,17359422.036,3366261.2925,1919085.4448,705917.91481,480879.30928999995,296843.46671,224053.9034,100543.25639,40879.735209,25168.20152
1977-02-28,15698096.317,2618164.9867,1929577.4142,674349.7710899999,431215.96723999997,222460.93775,114778.32940999999,159191.84151,66798.269428,25285.531899
1977-03-31,17399927.164,2663968.8007,1669510.4459,2249968.4848,473028.55208,324532.08212,115422.02559,165401.89390999998,60087.506507000006,34351.763055
1977-04-30,17138515.389000002,4816055.5743,1978560.1791,1280440.4234,2188265.8807,352285.80083,194957.86984,140379.43777000002,62918.012762,47970.215939999995
1977-05-31,16901661.954,4612404.7177,2531004.1192,1268763.4119,2071515.6022,351808.25785,185459.35857,117295.70354000002,141465.05708,54788.48701900001
1977-06-30,17140485.615,5101326.7315,2572038.3896,1014828.9389,2184869.5402,393762.81526,228980.30388000002,203036.36243,73684.247472,61457.845625
1977-07-31,12983047.197,10233123.255,2635695.2332,1172423.1315,1939933.4951,335973.91305,249514.8638,186434.33105,75234.70219400001,34579.057312
