public_date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLD,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
1976-01-31,0.029817,0.022528,0.040132,0.001950,-0.027723,0.028384,0.051703,0.036781,0.019267,0.019785,0.027534,0.073900,0.059988,0.045015,-0.079583,0.051907,0.095697,0.157321,-0.023455,0.022657,0.060347,0.044550,-0.017691,0.106631,-0.011533,0.032445,0.021111,0.056616,0.044393,0.054289,0.039691,-0.033190,0.114791,0.021591,0.107513,0.084386,0.039591,0.088314,0.222029,-0.060081,-0.062653,-0.002076,0.070227,0.030121,0.111140,0.042197,0.043831,-0.031847,0.059238
1976-02-29,0.050185,0.020796,0.050372,0.046140,-0.008837,0.059960,-0.031224,0.013369,-0.006741,-0.023686,0.048944,0.043239,0.039418,-0.051291,0.070867,0.020749,0.000707,0.004211,-0.008936,-0.019706,0.010065,0.022997,0.047245,-0.050276,0.030085,0.015072,-0.006853,-0.001807,-0.004390,-0.010358,0.035834,0.069187,-0.052529,0.023501,-0.033400,-0.023870,0.047352,0.017809,0.101167,0.045396,0.031702,0.022709,0.042433,0.000780,-0.001560,-0.000311,0.002192,0.012056,0.012950
1976-03-31,0.063220,-0.016633,0.008609,-0.012340,-0.011416,-0.013779,-0.036643,0.013194,-0.027401,0.001314,-0.000480,-0.018674,-0.042436,0.036200,-0.041453,-0.007102,0.022953,-0.078948,-0.000770,-0.026495,0.024780,0.005147,-0.082243,-0.003069,-0.025113,-0.043988,-0.013860,-0.001834,-0.051299,-0.019765,0.014388,0.017263,-0.046360,-0.009852,-0.036713,0.032320,-0.050558,-0.044518,0.002426,0.001148,-0.046694,-0.030986,-0.004501,0.012256,-0.040138,0.011345,-0.031202,0.009347,-0.000220
1976-04-30,0.032260,-0.051949,-0.022574,-0.012491,-0.032732,-0.028868,-0.031497,-0.009979,-0.026596,-0.026703,-0.000620,-0.075022,-0.036166,0.090817,-0.020199,-0.001234,-0.029988,0.019545,0.000409,-0.013990,-0.044698,0.012359,-0.027480,-0.060951,-0.024227,-0.035143,-0.011111,0.014054,-0.071898,-0.034534,-0.023223,0.051998,0.010712,-0.030692,-0.003636,-0.060665,-0.064369,-0.000609,0.016850,-0.026733,-0.022361,0.014305,0.018295,-0.029992,-0.057320,0.017896,-0.055644,-0.019564,-0.015062
1976-05-31,0.101087,0.013710,0.038551,0.065362,0.014581,0.009557,0.063586,0.049590,0.055002,-0.004233,0.076054,0.017109,0.086391,0.052024,0.038459,0.081113,0.082288,0.063664,0.051036,0.026142,0.035424,0.096877,0.042251,0.033557,0.065368,0.067376,0.050917,0.069942,0.056763,0.031269,0.068416,0.052451,0.108404,0.006179,0.076343,0.015545,0.008846,-0.010860,-0.027885,-0.037292,0.042865,0.078543,0.057913,0.040504,0.037271,0.047078,0.011479,0.041641,0.026940
1976-06-30,-0.032358,0.005128,-0.003677,-0.006095,0.016349,-0.010485,0.011677,-0.020551,-0.002781,-0.024954,-0.029913,-0.032906,-0.020775,-0.083806,-0.006509,-0.010916,-0.009026,-0.063282,0.010965,-0.042445,-0.063457,0.028409,-0.043195,0.016913,-0.004893,0.073455,-0.010726,-0.016032,-0.030744,0.006617,-0.013512,-0.006159,-0.045881,-0.007774,0.015161,0.022342,-0.018119,-0.019859,0.014629,0.043517,0.030118,-0.022336,-0.008334,0.008938,-0.009784,-0.007917,-0.002970,0.028657,-0.017046
1976-07-31,0.007519,-0.038972,-0.000156,-0.019372,0.016732,-0.037387,-0.027885,-0.018967,-0.022933,-0.024283,-0.046288,-0.047637,-0.002944,-0.021359,0.014889,-0.018754,-0.017322,-0.056232,0.004519,-0.010153,-0.083791,-0.031929,-0.019520,-0.001396,0.002096,0.022270,-0.046096,-0.019626,-0.030637,-0.016594,-0.039673,-0.009366,-0.012725,0.005642,-0.002796,-0.017761,0.045949,-0.017576,-0.037277,0.044383,-0.010195,0.009788,-0.022141,0.046240,-0.049252,-0.035262,-0.017529,0.031081,-0.039942
1976-08-31,0.043712,-0.001347,0.057157,-0.003714,-0.008645,0.035980,0.048957,0.030243,0.038818,0.006155,0.022906,0.027134,0.003613,0.016853,0.035240,0.005000,0.019706,0.047359,0.005498,0.007171,0.021084,0.064472,-0.021604,0.040174,0.019449,0.026834,0.026809,0.000862,-0.012691,0.050155,0.021113,0.056865,0.028668,0.025649,0.022460,0.031214,0.004297,0.004391,0.078721,0.087758,-0.000404,0.025758,0.009474,0.018355,0.006628,-0.000084,-0.005742,0.043168,0.016949
1976-09-30,-0.069954,0.002468,-0.013820,0.007269,-0.030599,0.015242,-0.003892,-0.028866,-0.040597,-0.023105,-0.062163,-0.019689,-0.038857,-0.048438,-0.039261,-0.053088,-0.078872,-0.017182,-0.012005,0.016958,0.015143,-0.053543,-0.038296,-0.027707,-0.029577,-0.002637,-0.043486,-0.031656,-0.033903,-0.040013,-0.029342,-0.025627,0.001292,-0.022373,-0.017254,-0.046286,-0.000454,-0.005310,-0.079317,-0.010549,-0.048211,-0.031185,-0.070469,0.010041,-0.012135,-0.036106,-0.011083,-0.006875,-0.027346
1976-10-31,0.028099,-0.009088,0.008737,0.010571,-0.064657,0.040149,0.055276,-0.003293,0.020299,-0.039889,-0.002058,0.086334,0.018283,0.019944,-0.107850,0.026500,0.046902,-0.007439,0.025168,0.045561,0.031986,0.063882,-0.000221,0.040327,0.012959,0.013436,0.023570,0.018370,0.038270,-0.020403,-0.011090,0.005974,0.073515,-0.000828,0.044474,0.040192,0.057646,0.034562,-0.008172,0.010932,-0.015561,0.005056,0.006911,0.021810,-0.015840,0.051115,0.058379,0.030801,0.030995
1976-11-30,0.056636,0.147347,0.099022,0.107890,0.051555,0.047708,0.113423,0.074252,0.105617,0.095629,0.052737,0.091227,0.087164,0.092410,0.065236,0.087681,0.066675,0.064540,0.043883,0.111964,0.049582,0.043442,0.001477,0.142588,0.028971,0.061345,0.045947,0.066324,0.032921,0.029866,0.034881,0.061096,0.116807,0.052340,0.109752,0.091895,0.015831,0.037319,0.113203,0.017436,0.014884,0.031170,0.091633,0.042112,0.125783,0.059968,0.048807,0.062761,0.091603
