public_date,port_me,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
01-31-1976,0,393,0.3868490254,0.0017141118,0.0109190081,,0.0028769997,-0.000281495,-0.000025123,0.0120939333,-0.083348409,0.002266629,-0.008443946,-3.233676982,-0.009065744,0.3303212681,0.0002375222,,1612.4203688,0.0032774225,1.2475091686,-0.024896615
01-31-1976,1,393,0.5869791167,0.0062058011,0.0045567347,,0.0021511511,-0.000069279,0.0000855166,0.0090786549,-0.04654827,-0.007457639,-0.005890591,-1.954587672,0.0089167009,0.3553830748,0.0001337644,,3382.2923828,0.0023732566,1.3481276537,-0.008578423
01-31-1976,2,393,0.607421453,0.0037643576,0.0554242991,,0.0020467315,-0.000012457,0.0001106677,0.0078548107,-0.023203769,-0.007962744,-0.001528056,-1.503025571,0.0175252722,0.3174590688,0.0001148493,,6087.398122,0.0019540237,1.400407401,-0.003924651
01-31-1976,3,393,0.7129160542,0.0043781925,0.0307315432,,0.0017631851,0.0000458971,0.0001567036,0.0066898009,-0.001721323,-0.008817756,0.0083283948,-1.077102297,0.0218919337,0.3307098942,0.0001015361,,9911.7923652,0.0014664733,1.2188718841,-0.002705173
01-31-1976,4,393,0.7642043203,0.0025074952,-0.000261671,,0.0016456342,0.000067084,0.0001694802,0.0065132182,0.0265110347,-0.002061922,-3.055828E-6,-1.108175377,0.0208865346,0.3385177484,0.0000913856,,15967.921524,0.0012219849,1.4063624214,-0.010466186
01-31-1976,5,393,0.8335732667,0.0031953156,0.0356310736,,0.0014468676,0.0000951028,0.0001886556,0.0048985553,0.0111353729,0.0003264277,0.0043588878,-0.794317686,0.0276310322,0.3357616554,0.0000780428,,26406.986837,0.0010191001,1.4972785641,-0.005926767
01-31-1976,6,393,0.7665363193,0.0024655142,0.0261643014,,0.001392251,0.0001142308,0.0001885438,0.004033288,0.0311172895,0.0025676655,0.0045353195,-0.960735395,0.0316710222,0.3020284905,0.0000791747,,46612.596554,0.0007411783,1.6115252255,-0.008217874
01-31-1976,7,393,0.6446150922,0.0013514747,0.0132941606,,0.0012794103,0.0001121689,0.0001854416,0.0038516306,0.0532651782,0.0160437645,0.0044106817,-0.494264988,0.0314041125,0.2702199939,0.0000685338,,89908.002311,0.0006508011,1.4218718897,-0.000247468
01-31-1976,8,393,0.6121517931,0.0016025609,0.0139601852,,0.0010329532,0.0001081025,0.0001693105,0.0025337339,0.0863829891,0.0189615794,0.0043174335,-0.278458464,0.0363348738,0.2391160793,0.0000459621,,239082.95917,0.0004854111,1.3279242566,-0.002060042
01-31-1976,9,393,0.4619819754,0.0022766789,0.0035627747,,0.0006857951,0.0000801649,0.0001374319,0.0014714987,0.1202781644,0.0184792603,0.0115821906,-0.00945478,0.0396550563,0.1426567678,0.0000277298,,8003937.292,0.0002486332,1.3682568891,-0.00992613
02-29-1976,0,392,0.062544241,0.0017023376,-0.003413495,,0.0020957896,-0.000178974,-0.0000275,0.0075765281,-0.076749537,-0.00444908,-0.017366053,-1.762961124,-0.007248381,0.0686686657,0.0001754387,,1890.1873639,0.0033767997,0.9519882108,0.1639782456
