public_date,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9
1976-01-31,0.277533,0.188880,0.162036,0.143461,0.112975,0.091564,0.083981,0.063950,0.039561,-0.009227
1976-02-29,0.050677,0.023152,0.013742,0.011263,0.013424,0.016898,0.019589,0.012147,0.016774,0.031128
1976-03-31,0.024798,-0.007094,-0.007459,-0.018368,-0.010120,-0.019351,-0.011733,-0.005911,-0.013240,-0.010599
1976-04-30,-0.032223,-0.025904,-0.040648,-0.028760,-0.033927,-0.017939,-0.018848,-0.011903,-0.018291,-0.007308
1976-05-31,0.015738,-0.000889,0.012345,0.026353,0.023490,0.029963,0.028373,0.054606,0.055083,0.044736
1976-06-30,0.000820,0.009531,0.004886,-0.007109,-0.003525,0.001737,-0.003269,0.003506,-0.001536,-0.007621
1976-07-31,-0.022622,-0.016376,-0.030938,-0.027301,-0.026167,-0.017149,-0.022492,-0.017604,-0.010285,0.001965
1976-08-31,0.013059,-0.001444,0.006306,0.011111,0.018661,0.024408,0.025707,0.034317,0.024915,0.024906
1976-09-30,-0.034022,-0.026919,-0.033558,-0.022073,-0.022287,-0.017186,-0.028022,-0.015408,-0.021075,-0.020493
1976-10-31,0.009010,0.017023,0.010832,0.030073,0.025779,0.038904,0.040500,0.036577,0.034148,-0.000463
1976-11-30,0.117150,0.119011,0.111522,0.124315,0.106770,0.100499,0.101182,0.090104,0.074695,0.052925
1976-12-31,0.119509,0.082443,0.075734,0.056799,0.031864,0.025145,0.019230,0.001064,-0.016974,-0.048569
1977-01-31,0.020360,0.034501,0.010162,-0.002459,-0.010652,-0.009781,-0.002846,-0.013116,-0.019999,-0.016878
1977-02-28,0.024431,0.019220,0.005234,0.005643,0.018392,0.010746,0.006414,0.002608,0.002043,-0.014360
1977-03-31,0.015562,0.011625,0.015350,0.025653,0.019907,0.009438,0.021906,0.013789,0.018796,0.001379
1977-04-30,0.018932,0.013914,0.006053,0.002491,0.001051,-0.007101,-0.000588,-0.000349,-0.005877,-0.013393
1977-05-31,0.032762,0.050697,0.047361,0.058072,0.075498,0.068687,0.060717,0.070305,0.055841,0.048352
1977-06-30,0.032786,0.030749,0.016107,0.017136,0.009790,0.001208,-0.002419,-0.004545,-0.012931,-0.015445
1977-07-31,-0.000670,-0.003462,-0.006624,-0.001141,-0.008955,-0.007978,-0.011172,-0.001870,-0.016107,-0.014125
1977-08-31,0.020686,0.019783,0.014151,0.016578,0.014314,0.016622,0.007606,0.011915,0.002181,-0.000377
1977-09-30,-0.010427,-0.031324,-0.023097,-0.023607,-0.028818,-0.021551,-0.030150,-0.024024,-0.031139,-0.042842
1977-10-31,0.049654,0.072650,0.089413,0.081618,0.092838,0.082984,0.088551,0.072624,0.069053,0.036115
1977-11-30,0.011757,0.028642,0.023701,0.025951,0.030152,0.025330,0.017848,0.013174,0.010541,0.005047
1977-12-31,0.040565,0.021109,-0.000912,-0.004029,-0.012204,-0.020144,-0.030193,-0.041300,-0.050164,-0.061360
1978-01-31,0.044343,0.041034,0.043819,0.022793,0.042832,0.031386,0.009418,0.019433,0.000138,-0.016851
1978-02-28,0.087597,0.075588,0.079999,0.075859,0.087327,0.077521,0.067945,0.056559,0.051604,0.024975
1978-03-31,0.090207,0.087217,0.083429,0.086425,0.082239,0.085059,0.077012,0.076215,0.076083,0.087453
1978-04-30,0.113185,0.099817,0.107138,0.095976,0.069622,0.065253,0.063790,0.046652,0.041145,0.012563
1978-05-31,0.060992,0.017799,0.005555,0.002447,0.006771,-0.007794,-0.003905,0.005862,-0.000650,-0.016451
1978-06-30,0.046389,0.033066,0.045252,0.057691,0.058855,0.059460,0.062127,0.059106,0.063124,0.055796
1978-07-31,0.156086,0.125573,0.124132,0.105833,0.090170,0.077810,0.089543,0.071252,0.055241,0.033283
1978-08-31,0.052249,0.039036,0.005120,-0.002499,0.003001,-0.008248,-0.016035,-0.009822,-0.012653,-0.007060
1978-09-30,-0.166828,-0.211332,-0.213391,-0.232498,-0.225422,-0.228097,-0.197332,-0.182487,-0.146595,-0.089446
